#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ボロスアーム,0,1,2,1,1,3,16,35,-4,4,-3,2,0,ガード性能,1,KO,4,体術,-1,攻撃,3,,,土砂竜の爪,2,土砂竜の甲殻,2,肥沃なドロ,2,草食竜の甲殻,3
ボロスガード,0,2,2,1,1,3,8,21,-4,4,-1,4,0,通常弾強化,3,精密射撃,2,体術,-1,攻撃,3,,,土砂竜の爪,2,土砂竜の甲殻,2,肥沃なドロ,2,草食竜の甲殻,3
インゴットアーム,0,1,2,1,2,4,20,39,-2,-2,-2,1,0,風圧,1,雷属性攻撃,4,気まぐれ,-1,耐震,3,,,ドラグライト鉱石,2,ライトクリスタル,2,ベアライト石,2,マカライト鉱石,5
インゴットガード,0,2,2,1,2,4,10,23,-1,-1,-1,2,0,散弾強化,1,雷属性攻撃,4,気まぐれ,-1,貫通弾追加,3,,,ドラグライト鉱石,2,ライトクリスタル,2,ベアライト石,2,マカライト鉱石,5
バギィアーム,0,1,2,1,2,4,16,35,-4,-1,2,-1,1,攻撃,3,氷属性攻撃,1,回復速度,4,火耐性,-1,,,眠狗竜の爪,2,眠狗竜の皮,3,バギィの皮,2,アイシスメタル,2
バギィガード,0,2,2,1,2,4,8,21,-2,0,4,0,2,攻撃,1,氷属性攻撃,4,回復速度,2,火耐性,-2,,,眠狗竜の爪,2,眠狗竜の皮,3,バギィの皮,2,アイシスメタル,2
ラングロアーム,0,1,2,0,2,4,16,35,2,-4,-2,-1,2,回避性能,4,火耐性,2,耐寒,-1,耐震,4,,,赤甲獣の爪,2,赤甲獣の蛇腹甲,2,大きな骨,2,溶岩獣の鱗,4
ラングロガード,0,2,2,0,2,4,8,21,4,-2,-1,0,4,回避性能,2,火耐性,4,耐寒,-1,調合数,4,,,赤甲獣の爪,2,赤甲獣の蛇腹甲,2,大きな骨,2,溶岩獣の鱗,4
レイアアーム,0,1,2,0,2,4,18,37,2,0,0,-2,-4,体力,2,加護,3,火属性攻撃,4,回復速度,-2,,,火竜の翼爪,2,雌火竜の甲殻,2,雌火竜の棘,1,ドラグライト鉱石,3
レイアガード,0,2,2,0,2,4,9,22,4,0,1,-1,-3,体力,3,加護,2,火属性攻撃,4,回復速度,-2,,,火竜の翼爪,2,雌火竜の甲殻,2,雌火竜の棘,1,ドラグライト鉱石,3
ハプルアーム,0,1,2,1,2,4,18,37,2,-1,-3,-2,0,食事,4,水属性攻撃,1,食いしん坊,3,腹減り,-1,,,潜口竜の爪,2,潜口竜の甲殻,2,鮮やかな体液,4,甲虫の大顎,3
ハプルガード,0,2,2,1,2,4,9,22,4,0,-2,-1,0,食事,4,水属性攻撃,1,食いしん坊,3,腹減り,-1,,,潜口竜の爪,2,潜口竜の甲殻,2,鮮やかな体液,4,甲虫の大顎,3
ネブラアーム,0,1,2,1,2,4,18,37,-4,0,3,3,-2,特殊攻撃,1,雷耐性,3,気絶,3,体力,-2,,,毒怪竜の皮,4,毒怪竜の爪,1,不気味な毒腺,3,竜骨【大】,3
ネブラガード,0,2,2,1,2,4,9,22,-2,0,4,4,-1,特殊攻撃,1,雷耐性,2,気絶,3,体力,-3,,,毒怪竜の皮,4,毒怪竜の爪,1,不気味な毒腺,3,竜骨【大】,3
ナルガアーム,0,1,3,2,2,5,20,39,-3,1,0,-4,-1,回避距離,2,気力回復,2,気配,2,攻撃,-1,,,迅竜の刃翼,3,迅竜の鱗,3,迅竜の骨髄,1,青熊獣の毛,6
ナルガガード,0,2,3,2,2,5,10,23,-1,3,1,-2,0,回避距離,2,気力回復,1,気配,3,攻撃,-1,,,迅竜の刃翼,3,迅竜の鱗,3,迅竜の骨髄,1,青熊獣の毛,6
ベリオアーム,0,1,3,0,2,5,20,39,-4,1,2,-3,-1,スタミナ,2,体術,4,氷属性攻撃,3,気力回復,-2,,,氷牙竜の爪,1,氷牙竜の甲殻,3,氷結袋,4,なめらかな皮,6
ベリオガード,0,2,3,0,2,5,10,23,-2,2,4,-1,0,スタミナ,1,体術,3,氷属性攻撃,5,気力回復,-2,,,氷牙竜の爪,1,氷牙竜の甲殻,3,氷結袋,4,なめらかな皮,6
レウスアーム,0,1,3,2,3,5,22,41,2,-1,-1,-2,-4,痛撃,2,攻撃,2,火属性攻撃,1,回復量,-2,,,火竜の尻尾,1,火竜の翼爪,1,火竜の骨髄,2,ドラグライト鉱石,3
レウスガード,0,2,3,2,3,5,11,24,4,0,0,-1,-2,痛撃,2,攻撃,1,火属性攻撃,2,回復量,-2,,,火竜の尻尾,1,火竜の翼爪,1,火竜の骨髄,2,ドラグライト鉱石,3
ガンキンアーム,0,1,3,2,2,5,22,41,2,-5,-2,1,-3,抜刀減気,2,防御,3,火耐性,1,水耐性,-1,,,爆鎚竜の鱗,3,爆鎚竜の顎,1,溶岩塊,3,紅蓮石,1
ガンキンガード,0,2,3,2,2,5,11,24,4,-4,-1,2,-2,貫通弾強化,2,防御,1,火耐性,2,水耐性,-2,,,爆鎚竜の鱗,3,爆鎚竜の顎,1,溶岩塊,3,紅蓮石,1
ジンオウアーム,0,1,3,1,3,5,22,41,-1,-2,-3,3,0,本気,2,雷属性攻撃,3,斬れ味,3,気配,-1,,,雷狼竜の爪,3,雷狼竜の逆鱗,1,雷狼竜の帯電毛,2,超電雷光虫,2
ジンオウガード,0,2,3,1,3,5,11,24,0,-1,-1,5,0,本気,2,雷属性攻撃,3,通常弾強化,3,気配,-1,,,雷狼竜の爪,3,雷狼竜の逆鱗,1,雷狼竜の帯電毛,2,超電雷光虫,2
ディアブロアーム,0,1,3,2,3,6,24,43,2,-1,-3,-1,-1,抜刀会心,2,減気攻撃,1,耐震,1,特殊攻撃,-3,,,角竜の牙,3,角竜の骨髄,1,ねじれた角,2,草食竜の甲殻,3
ディアブロガード,0,2,3,2,3,6,12,25,4,0,-2,0,0,貫通弾強化,1,通常弾追加,1,減気攻撃,4,特殊攻撃,-1,,,角竜の牙,3,角竜の骨髄,1,ねじれた角,2,草食竜の甲殻,3
レックスアーム,0,1,3,0,3,6,24,43,2,-1,0,-4,-2,聴覚保護,3,千里眼,4,食いしん坊,1,加護,-3,,,轟竜の牙,4,轟竜の鱗,3,轟竜の爪,4,狗竜の皮,2
レックスガード,0,2,3,0,3,6,12,25,3,0,0,-2,-1,聴覚保護,3,千里眼,3,食いしん坊,2,加護,-3,,,轟竜の牙,4,轟竜の鱗,3,轟竜の爪,4,狗竜の皮,2
アグナアーム,0,1,3,2,3,6,24,43,4,-4,-2,0,-4,ガード性能,2,斬れ味,1,達人,1,底力,-3,,,溶岩獣の鱗,8,竜骨【中】,4,溶岩塊,8,紅蓮石,1
アグナガード,0,2,3,2,3,6,12,25,5,-2,-1,0,-2,通常弾強化,1,貫通弾追加,1,精密射撃,2,底力,-3,,,溶岩獣の鱗,8,竜骨【中】,4,溶岩塊,8,紅蓮石,1
ドボルアーム,0,1,3,1,3,6,24,43,-3,1,-2,-2,0,重撃,3,底力,1,攻撃,4,達人,-1,,,尾槌竜の甲殻,4,尾槌竜の尾甲,2,尾槌竜の苔甲,4,大猪の皮,3
ドボルガード,0,2,3,1,3,6,12,25,-2,3,-1,-1,0,重撃,3,底力,3,反動,1,達人,-2,,,尾槌竜の甲殻,4,尾槌竜の尾甲,2,尾槌竜の苔甲,4,大猪の皮,3
ギルドバードアーム,1,1,3,0,3,5,20,39,0,0,0,0,0,捕獲,4,観察眼,2,広域,3,運気,-2,,,勇気の証,1,温泉チケット,3,ドスヘラクレス,5,爆鎚竜の耐熱殻,2
ギルドバードカフス,1,2,3,0,3,5,10,23,0,0,0,0,0,捕獲,3,観察眼,4,広域,1,運気,-3,,,勇気の証,1,温泉チケット,3,ドスヘラクレス,5,爆鎚竜の耐熱殻,2
スカラーグラブ,2,1,3,0,3,5,20,39,0,0,0,0,0,捕獲,4,観察眼,2,広域,3,運気,-2,,,勇気の証,1,温泉チケット,3,ドスヘラクレス,5,爆鎚竜の耐熱殻,2
スカラーカフス,2,2,3,0,3,5,10,23,0,0,0,0,0,捕獲,3,観察眼,4,広域,1,運気,-3,,,勇気の証,1,温泉チケット,3,ドスヘラクレス,5,爆鎚竜の耐熱殻,2
マギュルラーマ,1,1,3,1,3,2,16,35,-4,1,2,0,0,溜め短縮,3,効果持続,2,高速設置,3,ガード性能,-1,,,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
マギュルラーマ,2,1,3,1,3,2,16,35,-4,1,2,0,0,溜め短縮,3,効果持続,2,高速設置,3,ガード性能,-1,,,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
マギュルアスト,1,2,3,1,3,2,8,21,-2,2,4,0,0,溜め短縮,2,効果持続,3,高速設置,2,精密射撃,-2,,,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
マギュルアスト,2,2,3,1,3,2,8,21,-2,2,4,0,0,溜め短縮,2,効果持続,3,高速設置,2,精密射撃,-2,,,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
ヴァイクアーム,0,1,3,2,3,3,14,33,0,3,-2,-2,0,斬れ味,1,回復速度,3,水耐性,1,研ぎ師,-2,,,ヨロイシダイ,2,アイシスメタル,2,カクサンデメキン,2,大きなヒレ,6
ヴァイクガード,0,2,3,2,3,3,7,20,0,5,-4,-1,0,通常弾強化,2,回復速度,2,水耐性,1,装填速度,-2,,,ヨロイシダイ,2,アイシスメタル,2,カクサンデメキン,2,大きなヒレ,6
ロワーガマーノ,1,1,3,1,3,4,18,37,-5,0,-1,3,1,聴覚保護,3,達人,4,雷耐性,1,加護,-1,,,オオクワアゲハ,1,ドスヘラクレス,1,セッチャクロアリ,5,にが虫,10
ロワーガブラッソ,1,2,3,1,3,4,9,22,-4,0,0,5,3,聴覚保護,3,達人,3,雷耐性,1,加護,-2,,,オオクワアゲハ,1,ドスヘラクレス,1,セッチャクロアリ,5,にが虫,10
ファルメルマーノ,2,1,3,1,3,4,18,37,-5,0,-1,3,1,聴覚保護,3,達人,4,雷耐性,1,加護,-1,,,オオクワアゲハ,1,ドスヘラクレス,1,セッチャクロアリ,5,にが虫,10
ファルメルブラッソ,2,2,3,1,3,4,9,22,-4,0,0,5,3,聴覚保護,3,達人,3,雷耐性,1,加護,-2,,,オオクワアゲハ,1,ドスヘラクレス,1,セッチャクロアリ,5,にが虫,10
アーティアアーム,0,1,3,0,3,3,20,39,0,-4,2,-4,3,剣術,5,ガード強化,1,研ぎ師,-5,,,,,さびた破片,2,ライトクリスタル,2,大地の結晶,10,石ころ,16
アーティアガード,0,2,3,0,3,3,10,23,0,-2,4,-2,5,速射,5,反動,1,装填速度,-5,,,,,さびた破片,2,ライトクリスタル,2,大地の結晶,10,石ころ,16
大和【篭手】,1,1,3,0,3,6,26,45,3,0,-3,0,-3,匠,3,溜め短縮,3,達人,3,斬れ味,-2,,,峯山龍の蒼鱗,6,たくましい龍牙,3,峯山龍の腕甲,2,ねじれた角,1
陸奥【篭手】,1,2,3,0,3,6,13,26,5,1,-2,1,-2,装填数,3,溜め短縮,4,達人,2,反動,-2,,,峯山龍の蒼鱗,6,たくましい龍牙,3,峯山龍の腕甲,2,ねじれた角,1
日向【篭手】,2,1,3,0,3,6,26,45,3,0,-3,0,-3,匠,3,溜め短縮,3,達人,3,斬れ味,-2,,,峯山龍の蒼鱗,6,たくましい龍牙,3,峯山龍の腕甲,2,ねじれた角,1
天城【篭手】,2,2,3,0,3,6,13,26,5,1,-2,1,-2,装填数,3,溜め短縮,4,達人,2,反動,-2,,,峯山龍の蒼鱗,6,たくましい龍牙,3,峯山龍の腕甲,2,ねじれた角,1
ユアミリスト,0,0,3,1,3,5,8,28,-2,2,-2,-2,0,運気,3,効果持続,2,攻撃,-4,,,,,温泉チケット,4,ドリンクチケット,2,ユクモチケット,1,勇気の証,1
ユクモノコテ・天,0,1,4,2,4,6,28,60,0,0,0,3,0,加護,3,気まぐれ,1,回復量,2,研ぎ師,3,,,ユクモの堅木,2,ユクモの木,3,丸鳥の羽,3,,
ユクモノコテ・地,0,2,4,2,4,6,14,35,0,0,0,4,0,加護,3,気まぐれ,2,回復量,1,精密射撃,3,,,ユクモの堅木,2,ユクモの木,3,丸鳥の羽,3,,
レザーＳアーム,0,1,4,1,4,99,28,60,-1,0,0,0,1,高速収集,4,採取,1,気まぐれ,4,腹減り,2,,,上質な毛皮,2,暖かい毛皮,2,なめらかな皮,4,,
レザーＳガード,0,2,4,1,4,99,14,35,0,0,0,0,2,高速収集,1,採取,3,気まぐれ,4,腹減り,3,,,上質な毛皮,2,暖かい毛皮,2,なめらかな皮,4,,
チェーンＳアーム,0,1,4,2,4,6,28,60,2,1,1,-2,0,体力,4,調合成功率,4,調合数,1,,,,,カブレライト鉱石,2,アイシスメタル,2,大地の結晶,2,,
チェーンＳガード,0,2,4,2,4,6,14,35,3,2,2,-1,0,体力,3,調合成功率,4,通常弾追加,2,,,,,カブレライト鉱石,2,アイシスメタル,2,大地の結晶,2,,
ハンターＳアーム,0,1,4,1,4,99,30,62,0,1,0,-4,0,狩人,2,高速設置,4,毒,-1,観察眼,4,,,デプスライト鉱石,2,ジャギィの上鱗,2,大地の結晶,2,竜骨【大】,2
ハンターＳガード,0,2,4,1,4,99,15,36,1,2,0,-2,1,狩人,1,高速設置,4,毒,-2,観察眼,4,,,デプスライト鉱石,2,ジャギィの上鱗,2,大地の結晶,2,竜骨【大】,2
ボーンＳアーム,0,1,4,2,4,99,30,62,2,0,-2,-1,0,回復量,2,KO,1,睡眠,-3,笛,3,,,上質な鳥竜骨,2,竜骨【大】,1,とがった牙,5,,
ボーンＳガード,0,2,4,2,4,99,15,36,4,0,-1,0,0,回復量,2,KO,3,睡眠,-1,笛,3,,,上質な鳥竜骨,2,竜骨【大】,1,とがった牙,5,,
アロイＳアーム,0,1,4,1,4,99,30,62,-1,1,-2,-2,-1,風圧,3,達人,5,研ぎ師,2,採取,-1,,,デプスライト鉱石,2,カブレライト鉱石,3,マカライト鉱石,7,大地の結晶,7
アロイＳガード,0,2,4,1,4,99,15,36,0,2,-1,-1,0,散弾強化,1,散弾追加,2,達人,5,採取,-3,,,デプスライト鉱石,2,カブレライト鉱石,3,マカライト鉱石,7,大地の結晶,7
ブナハＳグローブ,0,1,4,1,4,99,32,64,-5,-2,-2,2,4,特殊攻撃,3,剣術,2,麻痺,2,攻撃,-4,,,飛甲虫の堅殻,2,飛甲虫の羽,4,上質な腹袋,2,モンスターの体液,3
ブナハＳカフス,0,2,4,1,4,99,16,37,-3,-1,-1,3,5,特殊攻撃,1,装填速度,5,麻痺,1,攻撃,-4,,,飛甲虫の堅殻,2,飛甲虫の羽,4,上質な腹袋,2,モンスターの体液,3
リノプロＳアーム,0,1,4,1,4,99,32,64,2,-2,-2,-2,1,気力回復,3,砲術,4,耐泥耐雪,2,気絶,-2,,,草食竜の堅殻,3,竜骨【中】,4,氷結晶,3,,
リノプロＳガード,0,2,4,1,4,99,16,37,3,-1,-1,-1,2,気力回復,3,砲術,4,精密射撃,1,気絶,-3,,,草食竜の堅殻,3,竜骨【中】,4,氷結晶,3,,
ジャギィＳアーム,0,1,4,2,4,99,35,67,-4,-2,-2,-2,1,攻撃,4,達人,1,回復速度,2,効果持続,-2,,,狗竜の尖爪,4,王者のエリマキ,1,鳥竜玉,1,シーブライト鉱石,2
ジャギィＳガード,0,2,4,2,4,99,18,39,-2,-1,-1,-1,2,攻撃,4,達人,1,回復速度,1,効果持続,-3,,,狗竜の尖爪,4,王者のエリマキ,1,鳥竜玉,1,シーブライト鉱石,2
アシラＳアーム,0,1,4,1,4,99,35,67,-3,1,-2,-1,1,加護,3,防御,3,気絶,3,麻痺,-2,,,青熊獣の堅殻,3,青熊獣の堅腕甲,3,青熊獣の毛,3,上質な腹袋,2
アシラＳガード,0,2,4,1,4,99,18,39,-2,2,-1,0,3,加護,3,防御,2,気絶,3,麻痺,-3,,,青熊獣の堅殻,3,青熊獣の堅腕甲,3,青熊獣の毛,3,上質な腹袋,2
スティールＳアーム,0,1,4,2,5,99,41,71,2,0,2,-2,0,ガード性能,6,研ぎ師,2,抗菌,1,,,,,グラシスメタル,1,デプスライト鉱石,3,ドラグライト鉱石,5,大地の結晶,10
フロギィＳアーム,0,1,4,1,4,99,38,70,2,-2,-4,1,0,体術,2,食事,4,防御,-1,特殊攻撃,4,,,毒狗竜の堅腕甲,3,毒狗竜の上皮,3,猛毒袋,4,デプスライト鉱石,1
フロギィＳガード,0,2,4,1,4,99,20,41,4,-1,-2,2,0,体術,2,食事,2,防御,-3,特殊攻撃,4,,,毒狗竜の堅腕甲,3,毒狗竜の上皮,3,猛毒袋,4,デプスライト鉱石,1
ウルクＳアーム,0,1,4,1,5,99,38,70,-4,2,2,-2,1,回避性能,4,攻撃,2,火耐性,-2,氷属性攻撃,3,,,白兎獣の凍爪,2,白兎獣の毛,3,白兎獣の堅腹甲,3,王族カナブン,2
ウルクＳガード,0,2,4,1,5,99,20,41,-2,3,4,-1,3,回避性能,3,攻撃,2,火耐性,-3,氷属性攻撃,3,,,白兎獣の凍爪,2,白兎獣の毛,3,白兎獣の堅腹甲,3,王族カナブン,2
ペッコＳアーム,0,1,5,0,4,99,35,67,2,-2,-4,-1,2,広域,5,千里眼,5,火属性攻撃,1,氷耐性,-2,,,彩鳥の上鱗,3,火打石,1,彩鳥の羽根,4,王族カナブン,2
ペッコＳガード,0,2,5,0,4,99,18,39,4,-1,-3,0,4,広域,5,千里眼,4,火属性攻撃,1,氷耐性,-3,,,彩鳥の上鱗,3,火打石,1,彩鳥の羽根,4,王族カナブン,2
ルドロスＳアーム,0,1,5,1,4,99,38,70,-4,2,-2,-2,1,スタミナ,3,水属性攻撃,1,気絶,5,雷属性攻撃,-2,,,水獣の鋭爪,3,水獣の上鱗,4,海綿質の上皮,2,ドスヘラクレス,5
ルドロスＳガード,0,2,5,1,4,99,20,41,-2,4,-1,-1,2,スタミナ,2,水属性攻撃,2,気絶,4,雷属性攻撃,-3,,,水獣の鋭爪,3,水獣の上鱗,4,海綿質の上皮,2,ドスヘラクレス,5
ボロスＳアーム,0,1,5,2,4,99,41,71,-4,4,-3,2,0,ガード性能,1,体術,3,腹減り,-2,攻撃,3,,,土砂竜の鋭爪,4,土砂竜の堅殻,2,上竜骨,2,ジャギィの鱗,4
ボロスＳガード,0,2,5,2,4,99,22,41,-4,4,-1,4,0,通常弾強化,1,反動,2,腹減り,-3,攻撃,3,,,土砂竜の鋭爪,4,土砂竜の堅殻,2,上竜骨,2,ジャギィの鱗,4
インゴットＳアーム,0,1,5,2,5,99,47,77,-2,-2,-2,1,0,風圧,1,達人,2,研ぎ師,4,気まぐれ,-2,,,ユニオン鉱石,2,グラシスメタル,3,デプスライト鉱石,2,溶岩塊,2
インゴットＳガード,0,2,5,2,5,99,26,45,-1,-1,-1,2,0,散弾強化,2,散弾追加,2,装填速度,3,気まぐれ,-2,,,ユニオン鉱石,2,グラシスメタル,3,デプスライト鉱石,2,溶岩塊,2
バギィＳアーム,0,1,5,1,5,99,41,71,-4,-1,2,-1,1,攻撃,2,回復量,3,火耐性,-1,氷耐性,5,,,眠狗竜の尖爪,3,眠狗竜の上皮,3,昏睡袋,4,アイシスメタル,4
バギィＳガード,0,2,5,1,5,99,22,41,-2,0,4,0,2,攻撃,1,回復量,3,火耐性,-2,氷耐性,5,,,眠狗竜の尖爪,3,眠狗竜の上皮,3,昏睡袋,4,アイシスメタル,4
ラングロＳアーム,0,1,5,2,5,99,41,71,2,-4,-2,-1,2,回避性能,4,耐震,1,水耐性,-1,防御,3,,,赤甲獣の尖爪,3,強力麻痺袋,6,堅牢な骨,3,ドラグライト鉱石,5
ラングロＳガード,0,2,5,2,5,99,22,41,4,-2,-1,0,4,回避性能,3,通常弾追加,1,水耐性,-2,防御,3,,,赤甲獣の尖爪,3,強力麻痺袋,6,堅牢な骨,3,ドラグライト鉱石,5
レイアＳアーム,0,1,5,1,5,99,44,74,2,0,0,-2,-4,体力,3,火属性攻撃,6,回復速度,1,水属性攻撃,-1,,,雌火竜の堅殻,4,火竜の翼爪,3,雌火竜の棘,2,獄炎石,2
レイアＳガード,0,2,5,1,5,99,24,43,4,0,1,-1,-3,体力,3,火属性攻撃,6,回復速度,1,水属性攻撃,-1,,,雌火竜の堅殻,4,火竜の翼爪,3,雌火竜の棘,2,獄炎石,2
ハプルＳアーム,0,1,5,2,5,99,44,74,2,-1,-3,-2,0,食事,4,水属性攻撃,1,納刀,3,雷属性攻撃,-1,,,潜口竜の尖爪,3,潜口竜の堅殻,3,極彩色の体液,4,毒狗竜の皮,5
ハプルＳガード,0,2,5,2,5,99,24,43,4,0,-2,-1,0,食事,5,水属性攻撃,1,納刀,1,雷属性攻撃,-2,,,潜口竜の尖爪,3,潜口竜の堅殻,3,極彩色の体液,4,毒狗竜の皮,5
ネブラＳアーム,0,1,5,0,5,99,44,74,-4,0,3,3,-2,特殊攻撃,5,雷耐性,5,斬れ味,2,調合成功率,-1,,,毒怪竜の上皮,5,毒怪竜の鋭爪,2,毒怪竜の爪,2,グラシスメタル,4
ネブラＳガード,0,2,5,0,5,99,24,43,-2,0,4,4,-1,特殊攻撃,5,雷耐性,5,貫通弾追加,1,調合成功率,-2,,,毒怪竜の上皮,5,毒怪竜の鋭爪,2,毒怪竜の爪,2,グラシスメタル,4
ナルガＳアーム,0,1,5,1,5,99,47,77,-3,1,0,-4,-1,回避距離,3,回避性能,3,気配,3,スタミナ,-2,,,迅竜の鋭刃翼,3,迅竜の上鱗,5,迅竜の尾棘,5,垂皮竜の上皮,5
