#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ブナハベスト,0,2,2,1,1,1,5,18,-3,-1,-1,3,5,特殊攻撃,3,納刀,1,気配,1,攻撃,-2,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,キラビートル,1
リノプロメイル,0,1,2,1,1,2,10,29,2,-2,-2,-2,1,気力回復,2,砲術,1,耐泥耐雪,2,氷耐性,-2,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
リノプロレジスト,0,2,2,1,1,2,5,18,3,-1,-1,-1,2,気力回復,2,砲術,1,精密射撃,2,氷耐性,-2,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
ジャギィメイル,0,1,2,1,1,2,12,31,-4,-2,-2,-2,1,攻撃,2,観察眼,2,回復速度,1,効果持続,-2,,,王者のエリマキ,1,狗竜の爪,2,ジャギィの皮,3,鉄鉱石,3
ジャギィレジスト,0,2,2,1,1,2,6,19,-2,-1,-1,-1,2,攻撃,2,観察眼,2,回復速度,1,効果持続,-2,,,王者のエリマキ,1,狗竜の爪,2,ジャギィの皮,3,鉄鉱石,3
アシラメイル,0,1,2,1,1,1,12,31,-3,1,-2,-1,1,食いしん坊,2,防御,2,気絶,1,麻痺,-2,,,青熊獣の毛,3,青熊獣の甲殻,1,飛甲虫の甲殻,2,キラビートル,2
アシラレジスト,0,2,2,1,1,1,6,19,-2,2,-1,0,3,食いしん坊,2,防御,2,気絶,1,麻痺,-2,,,青熊獣の毛,3,青熊獣の甲殻,1,飛甲虫の甲殻,2,キラビートル,2
スティールメイル,0,1,2,1,1,3,14,33,2,0,2,-2,0,防御,4,研ぎ師,2,抗菌,1,,,,,アイシスメタル,2,ライトクリスタル,1,ベアライト石,3,鉄鉱石,10
フロギィメイル,0,1,2,1,1,3,14,33,2,-2,-4,1,0,体術,1,観察眼,1,気絶,-2,特殊攻撃,3,,,毒狗竜の皮,2,毒狗竜の腕甲,1,毒袋,3,氷結晶,5
フロギィレジスト,0,2,2,1,1,3,7,20,4,-1,-2,2,0,体術,1,観察眼,1,気絶,-2,特殊攻撃,3,,,毒狗竜の皮,2,毒狗竜の腕甲,1,毒袋,3,氷結晶,5
ウルクメイル,0,1,2,1,1,3,14,33,-4,2,2,-2,1,回避性能,3,氷耐性,2,耐寒,1,耐暑,-1,,,白兎獣の腹甲,2,白兎獣の毛,2,バギィの鱗,4,キラビートル,3
ウルクレジスト,0,2,2,1,1,3,7,20,-2,3,4,-1,3,回避性能,3,氷耐性,1,耐寒,1,耐暑,-2,,,白兎獣の腹甲,2,白兎獣の毛,2,バギィの鱗,4,キラビートル,3
ペッコメイル,0,1,2,0,1,3,12,31,2,-2,-4,-1,2,広域,4,千里眼,2,回復量,2,食事,-1,,,極彩色の羽根,1,彩鳥の鱗,2,竜骨【中】,2,セッチャクロアリ,3
ペッコレジスト,0,2,2,0,1,3,6,19,4,-1,-3,0,4,広域,2,千里眼,4,回復量,2,食事,-1,,,極彩色の羽根,1,彩鳥の鱗,2,竜骨【中】,2,セッチャクロアリ,3
ルドロスメイル,0,1,2,1,1,3,14,33,-4,2,-2,-2,1,スタミナ,3,腹減り,1,水属性攻撃,1,雷耐性,-2,,,海綿質の皮,2,水獣の爪,1,水生獣の皮,3,キラビートル,2
ルドロスレジスト,0,2,2,1,1,3,7,20,-2,4,-1,-1,2,スタミナ,3,腹減り,1,水属性攻撃,1,雷耐性,-2,,,海綿質の皮,2,水獣の爪,1,水生獣の皮,3,キラビートル,2
ボロスメイル,0,1,2,0,1,3,16,35,-4,4,-3,2,0,ガード性能,2,KO,1,防御,4,体術,-2,,,土砂竜の頭殻,1,土砂竜の背甲,2,肥沃なドロ,2,大猪の皮,4
ボロスレジスト,0,2,2,0,1,3,8,21,-4,4,-1,4,0,通常弾強化,3,精密射撃,1,防御,3,体術,-2,,,土砂竜の頭殻,1,土砂竜の背甲,2,肥沃なドロ,2,大猪の皮,4
インゴットメイル,0,1,2,1,2,4,20,39,-2,-2,-2,1,0,風圧,3,雷属性攻撃,1,気まぐれ,-1,耐震,2,,,ドラグライト鉱石,4,紅蓮石,1,シーブライト鉱石,1,ベアライト石,3
インゴットレジスト,0,2,2,1,2,4,10,23,-1,-1,-1,2,0,散弾強化,2,雷属性攻撃,1,気まぐれ,-2,貫通弾追加,2,,,ドラグライト鉱石,4,紅蓮石,1,シーブライト鉱石,1,ベアライト石,3
バギィメイル,0,1,2,1,2,4,16,35,-4,-1,2,-1,1,攻撃,3,氷属性攻撃,1,回復速度,1,火耐性,-2,,,王者のトサカ,1,眠狗竜の爪,1,バギィの皮,2,シーブライト鉱石,2
バギィレジスト,0,2,2,1,2,4,8,21,-2,0,4,0,2,攻撃,3,氷属性攻撃,1,回復速度,1,火耐性,-2,,,王者のトサカ,1,眠狗竜の爪,1,バギィの皮,2,シーブライト鉱石,2
ラングロメイル,0,1,2,0,2,4,16,35,2,-4,-2,-1,2,回避性能,1,火耐性,3,耐暑,3,耐寒,-2,,,赤甲獣の甲殻,3,赤甲獣の蛇腹甲,1,大きな骨,2,溶岩獣の鱗,4
ラングロレジスト,0,2,2,0,2,4,8,21,4,-2,-1,0,4,回避性能,2,火耐性,2,耐暑,3,耐寒,-2,,,赤甲獣の甲殻,3,赤甲獣の蛇腹甲,1,大きな骨,2,溶岩獣の鱗,4
レイアメイル,0,1,2,1,2,4,18,37,2,0,0,-2,-4,体力,3,加護,1,火属性攻撃,1,回復速度,-2,,,雌火竜の鱗,4,雌火竜の翼膜,3,火竜の骨髄,1,マカライト鉱石,5
レイアレジスト,0,2,2,1,2,4,9,22,4,0,1,-1,-3,体力,2,加護,2,火属性攻撃,1,回復速度,-2,,,雌火竜の鱗,4,雌火竜の翼膜,3,火竜の骨髄,1,マカライト鉱石,5
ハプルメイル,0,1,2,1,2,4,18,37,2,-1,-3,-2,0,食事,3,水属性攻撃,1,食いしん坊,1,腹減り,-2,,,潜口竜の皮,4,潜口竜の爪,1,潜口竜の甲殻,3,鮮やかな体液,4
ハプルレジスト,0,2,2,1,2,4,9,22,4,0,-2,-1,0,食事,3,水属性攻撃,1,食いしん坊,1,腹減り,-2,,,潜口竜の皮,4,潜口竜の爪,1,潜口竜の甲殻,3,鮮やかな体液,4
ネブラメイル,0,1,2,2,2,4,18,37,-4,0,3,3,-2,特殊攻撃,1,雷耐性,1,気絶,1,体力,-2,,,毒怪竜の爪,2,毒怪竜の皮,3,不気味な毒腺,3,アイシスメタル,4
ネブラレジスト,0,2,2,2,2,4,9,22,-2,0,4,4,-1,特殊攻撃,1,雷耐性,1,気絶,1,体力,-2,,,毒怪竜の爪,2,毒怪竜の皮,3,不気味な毒腺,3,アイシスメタル,4
ナルガメイル,0,1,3,0,2,5,20,39,-3,1,0,-4,-1,回避距離,4,気力回復,2,気配,1,攻撃,-2,,,迅竜の鱗,3,迅竜の牙,4,迅竜の黒毛,3,垂皮竜の皮,6
ナルガレジスト,0,2,3,0,2,5,10,23,-1,3,1,-2,0,回避距離,4,気力回復,1,気配,1,攻撃,-3,,,迅竜の鱗,3,迅竜の牙,4,迅竜の黒毛,3,垂皮竜の皮,6
ベリオメイル,0,1,3,1,2,5,20,39,-4,1,2,-3,-1,スタミナ,3,体術,1,氷属性攻撃,1,気力回復,-2,,,氷牙竜の甲殻,3,氷牙竜の尻尾,1,氷牙竜の棘,1,ドスヘラクレス,3
ベリオレジスト,0,2,3,1,2,5,10,23,-2,2,4,-1,0,スタミナ,3,体術,1,氷属性攻撃,1,気力回復,-2,,,氷牙竜の甲殻,3,氷牙竜の尻尾,1,氷牙竜の棘,1,ドスヘラクレス,3
レウスメイル,0,1,3,1,3,5,22,41,2,-1,-1,-2,-4,痛撃,3,攻撃,1,火属性攻撃,1,回復量,-2,,,火竜の甲殻,2,火竜の鱗,4,火竜の翼膜,3,ベアライト石,6
レウスレジスト,0,2,3,1,3,5,11,24,4,0,0,-1,-2,痛撃,3,攻撃,1,火属性攻撃,1,回復量,-2,,,火竜の甲殻,2,火竜の鱗,4,火竜の翼膜,3,ベアライト石,6
ガンキンメイル,0,1,3,1,2,5,22,41,2,-5,-2,1,-3,抜刀減気,3,防御,1,火耐性,1,水耐性,-2,,,爆鎚竜の顎,1,爆鎚竜の耐熱殻,1,爆鎚竜の甲殻,3,赤甲獣の甲殻,2
ガンキンレジスト,0,2,3,1,2,5,11,24,4,-4,-1,2,-2,貫通弾強化,3,防御,1,火耐性,1,水耐性,-2,,,爆鎚竜の顎,1,爆鎚竜の耐熱殻,1,爆鎚竜の甲殻,3,赤甲獣の甲殻,2
ジンオウメイル,0,1,3,0,3,5,22,41,-1,-2,-3,3,0,本気,3,雷属性攻撃,1,斬れ味,2,気配,-3,,,雷狼竜の帯電毛,1,雷狼竜の甲殻,2,雷狼竜の蓄電殻,2,雷光虫,10
ジンオウレジスト,0,2,3,0,3,5,11,24,0,-1,-1,5,0,本気,3,雷属性攻撃,2,通常弾強化,1,気配,-3,,,雷狼竜の帯電毛,1,雷狼竜の甲殻,2,雷狼竜の蓄電殻,2,雷光虫,10
ディアブロメイル,0,1,3,1,3,6,24,43,2,-1,-3,-1,-1,抜刀会心,2,減気攻撃,1,耐震,2,特殊攻撃,-2,,,ねじれた角,2,角竜の背甲,3,角竜の甲殻,3,毒狗竜の腕甲,3
ディアブロレジスト,0,2,3,1,3,6,12,25,4,0,-2,0,0,貫通弾強化,2,通常弾追加,1,減気攻撃,1,特殊攻撃,-3,,,ねじれた角,2,角竜の背甲,3,角竜の甲殻,3,毒狗竜の腕甲,3
レックスメイル,0,1,3,2,3,6,24,43,2,-1,0,-4,-2,聴覚保護,2,千里眼,1,食いしん坊,1,加護,-1,,,轟竜の爪,5,轟竜の甲殻,3,轟竜の尻尾,1,水生獣の皮,6
レックスレジスト,0,2,3,2,3,6,12,25,3,0,0,-2,-1,聴覚保護,1,千里眼,1,食いしん坊,1,加護,-2,,,轟竜の爪,5,轟竜の甲殻,3,轟竜の尻尾,1,水生獣の皮,6
アグナメイル,0,1,3,1,3,6,24,43,4,-4,-2,0,-4,ガード性能,1,斬れ味,2,達人,2,底力,-2,,,炎戈竜の皮,4,炎戈竜のヒレ,2,炎戈竜の甲殻,5,毒狗竜の皮,5
アグナレジスト,0,2,3,1,3,6,12,25,5,-2,-1,0,-2,通常弾強化,2,貫通弾追加,2,精密射撃,1,底力,-2,,,炎戈竜の皮,4,炎戈竜のヒレ,2,炎戈竜の甲殻,5,毒狗竜の皮,5
ドボルメイル,0,1,3,1,3,6,24,43,-3,1,-2,-2,0,重撃,2,底力,1,攻撃,1,達人,-3,,,尾槌竜のコブ,3,尾槌竜の角,2,尾槌竜の甲殻,4,ファンゴの毛皮,4
ドボルレジスト,0,2,3,1,3,6,12,25,-2,3,-1,-1,0,重撃,1,底力,1,反動,3,達人,-2,,,尾槌竜のコブ,3,尾槌竜の角,2,尾槌竜の甲殻,4,ファンゴの毛皮,4
ギルドバードスーツ,1,1,3,0,3,5,20,39,0,0,0,0,0,捕獲,3,観察眼,2,広域,1,運気,-3,,,勇気の証,1,ドリンクチケット,1,ドラグライト鉱石,5,不気味な毒腺,4
ギルドバードベスト,1,2,3,0,3,5,10,23,0,0,0,0,0,捕獲,3,観察眼,2,広域,2,運気,-2,,,勇気の証,1,ドリンクチケット,1,ドラグライト鉱石,5,不気味な毒腺,4
スカラースーツ,2,1,3,0,3,5,20,39,0,0,0,0,0,捕獲,3,観察眼,2,広域,1,運気,-3,,,勇気の証,1,ドリンクチケット,1,ドラグライト鉱石,5,不気味な毒腺,4
スカラーベスト,2,2,3,0,3,5,10,23,0,0,0,0,0,捕獲,3,観察眼,2,広域,2,運気,-2,,,勇気の証,1,ドリンクチケット,1,ドラグライト鉱石,5,不気味な毒腺,4
マギュルトロンコ,1,1,3,2,3,2,16,35,-4,1,2,0,0,溜め短縮,1,効果持続,1,高速設置,1,ガード性能,-2,,,ペピポパンプキン,3,アルビノエキス,2,カクサンの実,10,サボテンの花,10
マギュルトロンコ,2,1,3,2,3,2,16,35,-4,1,2,0,0,溜め短縮,1,効果持続,1,高速設置,1,ガード性能,-2,,,ペピポパンプキン,3,アルビノエキス,2,カクサンの実,10,サボテンの花,10
マギュルシュタム,1,2,3,2,3,2,8,21,-2,2,4,0,0,溜め短縮,1,効果持続,1,高速設置,1,精密射撃,-2,,,ペピポパンプキン,3,アルビノエキス,2,カクサンの実,10,サボテンの花,10
マギュルシュタム,2,2,3,2,3,2,8,21,-2,2,4,0,0,溜め短縮,1,効果持続,1,高速設置,1,精密射撃,-2,,,ペピポパンプキン,3,アルビノエキス,2,カクサンの実,10,サボテンの花,10
ヴァイクメイル,0,1,3,1,3,3,14,33,0,3,-2,-2,0,斬れ味,2,回復速度,1,水耐性,1,研ぎ師,-3,,,ヨロイシダイ,3,うなりうねり貝,4,ベアライト石,3,バクレツアロワナ,5
ヴァイクレジスト,0,2,3,1,3,3,7,20,0,5,-4,-1,0,通常弾強化,2,回復速度,1,水耐性,1,装填速度,-3,,,ヨロイシダイ,3,うなりうねり貝,4,ベアライト石,3,バクレツアロワナ,5
ロワーガペット,1,1,3,1,3,4,18,37,-5,0,-1,3,1,聴覚保護,1,達人,2,雷耐性,1,加護,-3,,,オオクワアゲハ,2,ハナスズムシ,3,アルビノエキス,3,イレグイモムシ,10
ロワーガペクトス,1,2,3,1,3,4,9,22,-4,0,0,5,3,聴覚保護,2,達人,1,雷耐性,1,加護,-3,,,オオクワアゲハ,2,ハナスズムシ,3,アルビノエキス,3,イレグイモムシ,10
ファルメルペット,2,1,3,1,3,4,18,37,-5,0,-1,3,1,聴覚保護,1,達人,2,雷耐性,1,加護,-3,,,オオクワアゲハ,2,ハナスズムシ,3,アルビノエキス,3,イレグイモムシ,10
ファルメルペクトス,2,2,3,1,3,4,9,22,-4,0,0,5,3,聴覚保護,2,達人,1,雷耐性,1,加護,-3,,,オオクワアゲハ,2,ハナスズムシ,3,アルビノエキス,3,イレグイモムシ,10
アーティアメイル,0,1,3,1,3,3,20,39,0,-4,2,-4,3,剣術,1,ガード強化,4,研ぎ師,-2,,,,,さびた破片,3,ドラグライト鉱石,4,氷結晶,12,砥石,18
アーティアレジスト,0,2,3,1,3,3,10,23,0,-2,4,-2,5,速射,1,反動,4,装填速度,-2,,,,,さびた破片,3,ドラグライト鉱石,4,氷結晶,12,砥石,18
大和【胴当て】,1,1,3,2,3,6,26,45,3,0,-3,0,-3,匠,1,溜め短縮,1,達人,1,斬れ味,-2,,,峯山龍の甲岩殻,5,峯山龍の蒼鱗,5,たくましい龍牙,3,轟竜の牙,3
陸奥【胴当て】,1,2,3,2,3,6,13,26,5,1,-2,1,-2,装填数,1,溜め短縮,1,達人,1,反動,-2,,,峯山龍の甲岩殻,5,峯山龍の蒼鱗,5,たくましい龍牙,3,轟竜の牙,3
日向【胸当て】,2,1,3,2,3,6,26,45,3,0,-3,0,-3,匠,1,溜め短縮,1,達人,1,斬れ味,-2,,,峯山龍の甲岩殻,5,峯山龍の蒼鱗,5,たくましい龍牙,3,轟竜の牙,3
天城【胸当て】,2,2,3,2,3,6,13,26,5,1,-2,1,-2,装填数,1,溜め短縮,1,達人,1,反動,-2,,,峯山龍の甲岩殻,5,峯山龍の蒼鱗,5,たくましい龍牙,3,轟竜の牙,3
ズワロマント,0,1,3,0,1,2,12,32,-2,2,-1,0,1,体力,5,水耐性,4,,,,,,,垂皮竜の皮,4,大猪の皮,1,ファンゴの毛皮,3,,
ズワロケープ,0,2,3,0,1,2,6,19,-1,4,0,0,2,体力,5,水耐性,4,,,,,,,垂皮竜の皮,4,大猪の皮,1,ファンゴの毛皮,3,,
ユアミスガタ,0,0,3,1,3,5,8,28,-2,2,-2,-2,0,運気,2,効果持続,2,攻撃,-3,,,,,温泉チケット,4,ドリンクチケット,2,ユクモチケット,1,勇気の証,1
どんぐりメイル,0,0,3,0,3,5,12,32,2,2,-2,0,0,爆弾強化,2,砲術,7,,,,,,,オトモチケット,4,溶岩塊,4,紅蓮石,2,爆鎚竜の耐熱殻,2
武装戦線ジャケット,0,1,3,0,3,99,22,73,2,2,2,2,2,逆境,10,,,,,,,,,武装への招待状,3,迅竜の黒毛,4,暖かい毛皮,6,勇気の証,1
武装戦線ライダース,0,2,3,0,3,99,11,49,2,2,2,2,2,逆境,10,,,,,,,,,武装への招待状,3,迅竜の黒毛,4,暖かい毛皮,6,勇気の証,1
ユクモノドウギ・天,0,1,4,2,4,6,28,60,0,0,0,3,0,加護,2,気まぐれ,2,回復量,2,研ぎ師,1,,,ユクモの堅木,2,ユクモの木,3,丸鳥の羽,3,,
ユクモノドウギ・地,0,2,4,2,4,6,14,35,0,0,0,4,0,加護,1,気まぐれ,3,回復量,2,精密射撃,1,,,ユクモの堅木,2,ユクモの木,3,丸鳥の羽,3,,
レザーＳメイル,0,1,4,1,4,99,28,60,-1,0,0,0,1,高速収集,2,採取,3,気まぐれ,1,腹減り,3,,,上質な毛皮,1,カブレライト鉱石,1,大猪の皮,3,,
レザーＳレジスト,0,2,4,1,4,99,14,35,0,0,0,0,2,高速収集,3,採取,3,気まぐれ,1,腹減り,2,,,上質な毛皮,1,カブレライト鉱石,1,大猪の皮,3,,
チェーンＳメイル,0,1,4,1,4,6,28,60,2,1,1,-2,0,体力,2,減気攻撃,2,調合数,5,,,,,カブレライト鉱石,2,シーブライト鉱石,1,大地の結晶,2,ユクモの堅木,2
チェーンＳレジスト,0,2,4,1,4,6,14,35,3,2,2,-1,0,体力,3,調合数,1,通常弾追加,5,,,,,カブレライト鉱石,2,シーブライト鉱石,1,大地の結晶,2,ユクモの堅木,2
ハンターＳメイル,0,1,4,1,4,99,30,62,0,1,0,-4,0,狩人,1,千里眼,2,毒,-3,観察眼,3,,,カブレライト鉱石,1,ジャギィの上鱗,3,アイシスメタル,3,鉄鉱石,5
ハンターＳレジスト,0,2,4,1,4,99,15,36,1,2,0,-2,1,狩人,1,千里眼,2,毒,-3,観察眼,3,,,カブレライト鉱石,1,ジャギィの上鱗,3,アイシスメタル,3,鉄鉱石,5
ロックラックＳスーツ,0,1,4,2,4,99,30,62,2,-3,0,1,0,運搬,2,千里眼,5,,,,,,,上質な腹袋,1,モンスターの濃汁,2,氷結晶,5,,
ロックラックＳベスト,0,2,4,2,4,99,15,36,3,-2,0,2,0,運搬,2,千里眼,5,,,,,,,上質な腹袋,1,モンスターの濃汁,2,氷結晶,5,,
ボーンＳメイル,0,1,4,1,4,99,30,62,2,0,-2,-1,0,採取,1,KO,4,睡眠,-1,笛,3,,,堅牢な骨,1,竜骨【小】,5,とがった牙,5,,
ボーンＳレジスト,0,2,4,1,4,99,15,36,4,0,-1,0,0,採取,1,KO,3,睡眠,-2,笛,3,,,堅牢な骨,1,竜骨【小】,5,とがった牙,5,,
アロイＳメイル,0,1,4,2,4,99,30,62,-1,1,-2,-2,-1,風圧,2,達人,1,研ぎ師,2,採取,-2,,,デプスライト鉱石,2,カブレライト鉱石,2,マカライト鉱石,7,鉄鉱石,10
アロイＳレジスト,0,2,4,2,4,99,15,36,0,2,-1,-1,0,散弾強化,2,散弾追加,2,達人,1,採取,-2,,,デプスライト鉱石,2,カブレライト鉱石,2,マカライト鉱石,7,鉄鉱石,10
ブナハＳスーツ,0,1,4,1,4,99,32,64,-5,-2,-2,2,4,特殊攻撃,2,剣術,1,攻撃,-2,龍耐性,4,,,飛甲虫の堅殻,2,飛甲虫の甲殻,3,モンスターの濃汁,2,王族カナブン,2
ブナハＳベスト,0,2,4,1,4,99,16,37,-3,-1,-1,3,5,特殊攻撃,1,麻痺,2,攻撃,-2,龍耐性,4,,,飛甲虫の堅殻,2,飛甲虫の甲殻,3,モンスターの濃汁,2,王族カナブン,2
リノプロＳメイル,0,1,4,1,4,99,32,64,2,-2,-2,-2,1,気力回復,1,砲術,2,気絶,-2,防御,4,,,草食竜の堅殻,1,草食竜の頭殻,1,カブレライト鉱石,2,,
リノプロＳレジスト,0,2,4,1,4,99,16,37,3,-1,-1,-1,2,気力回復,2,精密射撃,1,気絶,-2,防御,4,,,草食竜の堅殻,1,草食竜の頭殻,1,カブレライト鉱石,2,,
ジャギィＳメイル,0,1,4,1,4,99,35,67,-4,-2,-2,-2,1,攻撃,2,達人,3,回復速度,2,効果持続,-2,,,狗竜の尖爪,4,狗竜の上皮,4,ジャギィの皮,3,カブレライト鉱石,2
ジャギィＳレジスト,0,2,4,1,4,99,18,39,-2,-1,-1,-1,2,攻撃,2,達人,3,回復速度,2,効果持続,-2,,,狗竜の尖爪,4,狗竜の上皮,4,ジャギィの皮,3,カブレライト鉱石,2
アシラＳメイル,0,1,4,1,4,99,35,67,-3,1,-2,-1,1,加護,1,防御,3,気絶,3,麻痺,-2,,,青熊獣の剛毛,5,青熊獣の堅殻,2,飛甲虫の堅殻,3,王族カナブン,2
アシラＳレジスト,0,2,4,1,4,99,18,39,-2,2,-1,0,3,加護,1,防御,3,気絶,3,麻痺,-2,,,青熊獣の剛毛,5,青熊獣の堅殻,2,飛甲虫の堅殻,3,王族カナブン,2
スティールＳメイル,0,1,4,1,5,99,41,71,2,0,2,-2,0,ガード性能,3,研ぎ師,4,抗菌,2,,,,,グラシスメタル,3,ライトクリスタル,4,紅蓮石,4,鉄鉱石,15
フロギィＳメイル,0,1,4,0,4,99,38,70,2,-2,-4,1,0,体術,4,食事,4,毒,1,防御,-2,,,猛毒袋,2,毒狗竜の腕甲,2,フロギィの上鱗,2,ドスヘラクレス,6
フロギィＳレジスト,0,2,4,0,4,99,20,41,4,-1,-2,2,0,体術,4,食事,3,毒,2,防御,-2,,,猛毒袋,2,毒狗竜の腕甲,2,フロギィの上鱗,2,ドスヘラクレス,6
ウルクＳメイル,0,1,4,2,5,99,38,70,-4,2,2,-2,1,回避性能,1,氷耐性,3,攻撃,1,火耐性,-2,,,白兎獣の堅腹甲,3,白兎獣の剛毛,3,バギィの上鱗,6,王族カナブン,2
ウルクＳレジスト,0,2,4,2,5,99,20,41,-2,3,4,-1,3,回避性能,1,氷耐性,3,攻撃,1,火耐性,-2,,,白兎獣の堅腹甲,3,白兎獣の剛毛,3,バギィの上鱗,6,王族カナブン,2
ズワロＳマント,0,1,4,0,4,99,32,64,-2,2,-1,0,1,体力,3,水耐性,8,,,,,,,垂皮竜の上皮,4,大猪の硬い皮,1,ファンゴの毛皮,3,,
ズワロＳケープ,0,2,4,0,4,99,18,39,-1,4,0,0,2,体力,3,水耐性,8,,,,,,,垂皮竜の上皮,4,大猪の硬い皮,1,ファンゴの毛皮,3,,
ペッコＳメイル,0,1,5,1,4,99,35,67,2,-2,-4,-1,2,広域,5,千里眼,1,火属性攻撃,1,氷耐性,-2,,,彩鳥の上鱗,3,極彩色の羽根,2,上竜骨,1,王族カナブン,2
ペッコＳレジスト,0,2,5,1,4,99,18,39,4,-1,-3,0,4,広域,5,千里眼,1,火属性攻撃,1,氷耐性,-2,,,彩鳥の上鱗,3,極彩色の羽根,2,上竜骨,1,王族カナブン,2
ルドロスＳメイル,0,1,5,1,4,99,38,70,-4,2,-2,-2,1,スタミナ,2,水属性攻撃,1,雷属性攻撃,-2,KO,4,,,海綿質の上皮,3,水生獣の上皮,3,水生獣の皮,6,王族カナブン,2
ルドロスＳレジスト,0,2,5,1,4,99,20,41,-2,4,-1,-1,2,スタミナ,2,水属性攻撃,1,雷属性攻撃,-2,KO,4,,,海綿質の上皮,3,水生獣の上皮,3,水生獣の皮,6,王族カナブン,2
ボロスＳメイル,0,1,5,2,4,99,41,71,-4,4,-3,2,0,ガード性能,1,体術,1,底力,2,腹減り,-3,,,土砂竜の堅甲,4,土砂竜の頭殻,3,肥沃なドロ,5,大猪の硬い皮,3
ボロスＳレジスト,0,2,5,2,4,99,22,41,-4,4,-1,4,0,通常弾強化,2,反動,1,底力,1,腹減り,-3,,,土砂竜の堅甲,4,土砂竜の頭殻,3,肥沃なドロ,5,大猪の硬い皮,3
インゴットＳメイル,0,1,5,1,5,99,47,77,-2,-2,-2,1,0,風圧,4,達人,1,研ぎ師,3,気まぐれ,-1,,,ユニオン鉱石,3,獄炎石,2,デプスライト鉱石,2,カブレライト鉱石,5
インゴットＳレジスト,0,2,5,1,5,99,26,45,-1,-1,-1,2,0,散弾強化,1,散弾追加,3,装填速度,3,気まぐれ,-2,,,ユニオン鉱石,3,獄炎石,2,デプスライト鉱石,2,カブレライト鉱石,5
バギィＳメイル,0,1,5,2,5,99,41,71,-4,-1,2,-1,1,攻撃,3,回復速度,1,回復量,1,火耐性,-2,,,眠狗竜の尖爪,4,王者のトサカ,1,鳥竜玉,3,アイシスメタル,4
バギィＳレジスト,0,2,5,2,5,99,22,41,-2,0,4,0,2,攻撃,1,回復速度,1,回復量,3,火耐性,-2,,,眠狗竜の尖爪,4,王者のトサカ,1,鳥竜玉,3,アイシスメタル,4
