#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ウルクフォールド,0,1,2,1,1,3,14,33,-4,2,2,-2,1,回避性能,3,氷耐性,3,耐寒,2,耐暑,-1,,,白兎獣の毛,3,白兎獣の氷爪,1,大きな骨,2,キラビートル,3
ウルクコート,0,2,2,1,1,3,7,20,-2,3,4,-1,3,回避性能,1,氷耐性,4,耐寒,2,耐暑,-2,,,白兎獣の毛,3,白兎獣の氷爪,1,大きな骨,2,キラビートル,3
ペッココイル,0,1,2,1,1,3,12,31,2,-2,-4,-1,2,広域,3,回復量,1,食事,-2,笛,3,,,彩鳥の羽根,2,彩鳥の鱗,3,竜骨【小】,4,キラビートル,2
ペッココート,0,2,2,1,1,3,6,19,4,-1,-3,0,4,広域,1,回復量,2,食事,-3,笛,3,,,彩鳥の羽根,2,彩鳥の鱗,3,竜骨【小】,4,キラビートル,2
ルドロスフォールド,0,1,2,1,1,3,14,33,-4,2,-2,-2,1,スタミナ,3,腹減り,2,水属性攻撃,3,雷耐性,-1,,,水生獣の皮,3,未熟な海綿質,5,竜骨【小】,4,キラビートル,2
ルドロスコート,0,2,2,1,1,3,7,20,-2,4,-1,-1,2,スタミナ,1,腹減り,2,水属性攻撃,4,雷耐性,-2,,,水生獣の皮,3,未熟な海綿質,5,竜骨【小】,4,キラビートル,2
ボロスフォールド,0,1,2,1,1,3,16,35,4,-4,-3,2,0,ガード性能,3,KO,1,防御,3,体術,-2,,,土砂竜の甲殻,2,土砂竜の爪,1,土砂竜の背甲,2,竜骨【中】,5
ボロスコート,0,2,2,1,1,3,8,21,4,-4,-1,4,0,通常弾強化,1,精密射撃,3,防御,2,体術,-3,,,土砂竜の甲殻,2,土砂竜の爪,1,土砂竜の背甲,2,竜骨【中】,5
インゴットコイル,0,1,2,0,2,4,20,39,-2,-2,-2,1,0,風圧,3,雷属性攻撃,1,研ぎ師,5,気まぐれ,-2,,,ドラグライト鉱石,4,紅蓮石,1,アイシスメタル,3,マカライト鉱石,5
インゴットコート,0,2,2,0,2,4,10,23,-1,-1,-1,2,0,散弾強化,4,雷属性攻撃,1,装填速度,4,気まぐれ,-2,,,ドラグライト鉱石,4,紅蓮石,1,アイシスメタル,3,マカライト鉱石,5
バギィコイル,0,1,2,1,2,4,16,35,-4,-1,2,-1,1,攻撃,2,氷属性攻撃,4,回復速度,2,火耐性,-1,,,眠狗竜の皮,2,王者のトサカ,1,睡眠袋,3,シーブライト鉱石,2
バギィコート,0,2,2,1,2,4,8,21,-2,0,4,0,2,攻撃,2,氷属性攻撃,1,回復速度,4,火耐性,-2,,,眠狗竜の皮,2,王者のトサカ,1,睡眠袋,3,シーブライト鉱石,2
ラングロフォールド,0,1,2,1,2,4,16,35,2,-4,-2,-1,2,回避性能,4,耐暑,2,耐寒,-1,耐震,2,,,赤甲獣の甲殻,3,麻痺袋,4,モンスターの体液,1,紅蓮石,1
ラングロコート,0,2,2,1,2,4,8,21,4,-2,-1,0,4,回避性能,2,耐暑,2,耐寒,-3,調合数,2,,,赤甲獣の甲殻,3,麻痺袋,4,モンスターの体液,1,紅蓮石,1
レイアフォールド,0,1,2,1,2,4,18,37,2,0,0,-2,-4,体力,1,加護,4,火属性攻撃,2,回復速度,-2,,,雌火竜の翼膜,2,雌火竜の逆鱗,1,火炎袋,2,マカライト鉱石,5
レイアコート,0,2,2,1,2,4,9,22,4,0,1,-1,-3,体力,3,加護,2,火属性攻撃,1,回復速度,-3,,,雌火竜の翼膜,2,雌火竜の逆鱗,1,火炎袋,2,マカライト鉱石,5
ハプルフォールド,0,1,2,2,2,4,18,37,2,-1,-3,-2,0,食事,2,水属性攻撃,1,食いしん坊,3,腹減り,-1,,,潜口竜の皮,3,潜口竜の頭殻,1,竜骨【大】,3,甲虫の腹袋,4
ハプルコート,0,2,2,2,2,4,9,22,4,0,-2,-1,0,食事,3,水属性攻撃,1,食いしん坊,1,腹減り,-2,,,潜口竜の皮,3,潜口竜の頭殻,1,竜骨【大】,3,甲虫の腹袋,4
ネブラフォールド,0,1,2,1,2,4,18,37,-4,0,3,3,-2,特殊攻撃,4,雷耐性,1,気絶,3,体力,-1,,,毒怪竜の皮,4,不気味な皮,1,なめらかな皮,4,眠狗竜の皮,2
ネブラコート,0,2,2,1,2,4,9,22,-2,0,4,4,-1,特殊攻撃,4,雷耐性,1,気絶,2,体力,-2,,,毒怪竜の皮,4,不気味な皮,1,なめらかな皮,4,眠狗竜の皮,2
ナルガフォールド,0,1,3,1,2,5,20,39,-3,1,0,-4,-1,回避距離,3,気力回復,1,気配,3,攻撃,-2,,,迅竜の黒毛,3,迅竜の尻尾,1,迅竜の鱗,3,キラビートル,6
ナルガコート,0,2,3,1,2,5,10,23,-1,3,1,-2,0,回避距離,2,気力回復,2,気配,3,攻撃,-2,,,迅竜の黒毛,3,迅竜の尻尾,1,迅竜の鱗,3,キラビートル,6
ベリオフォールド,0,1,3,2,2,5,20,39,-4,1,2,-3,-1,スタミナ,1,体術,4,氷属性攻撃,1,気力回復,-1,,,琥珀色の牙,1,氷牙竜の棘,1,上竜骨,2,白兎獣の腹甲,4
ベリオコート,0,2,3,2,2,5,10,23,-2,2,4,-1,0,スタミナ,3,体術,1,氷属性攻撃,1,気力回復,-2,,,琥珀色の牙,1,氷牙竜の棘,1,上竜骨,2,白兎獣の腹甲,4
レウスフォールド,0,1,3,2,3,5,22,41,2,-1,-1,-2,-4,痛撃,2,攻撃,1,火属性攻撃,2,回復量,-2,,,火竜の翼膜,3,火竜の逆鱗,1,上竜骨,3,紅蓮石,1
レウスコート,0,2,3,2,3,5,11,24,4,0,0,-1,-2,痛撃,2,攻撃,1,火属性攻撃,2,回復量,-2,,,火竜の翼膜,3,火竜の逆鱗,1,上竜骨,3,紅蓮石,1
ガンキンフォールド,0,1,3,0,2,5,22,41,2,-5,-2,1,-3,抜刀減気,1,防御,5,火耐性,2,水耐性,-3,,,爆鎚竜の耐熱殻,2,爆鎚竜の鱗,3,上竜骨,2,赤甲獣の甲殻,3
ガンキンコート,0,2,3,0,2,5,11,24,4,-4,-1,2,-2,貫通弾強化,1,防御,4,火耐性,4,水耐性,-2,,,爆鎚竜の耐熱殻,2,爆鎚竜の鱗,3,上竜骨,2,赤甲獣の甲殻,3
ジンオウフォールド,0,1,3,1,3,5,22,41,-1,-2,-3,3,0,本気,3,雷属性攻撃,2,斬れ味,1,気配,-3,,,雷狼竜の甲殻,3,雷狼竜の帯電毛,2,雷狼竜の尻尾,1,大猪の皮,3
ジンオウコート,0,2,3,1,3,5,11,24,0,-1,-1,5,0,本気,2,雷属性攻撃,2,通常弾強化,3,気配,-2,,,雷狼竜の甲殻,3,雷狼竜の帯電毛,2,雷狼竜の尻尾,1,大猪の皮,3
ディアブロコイル,0,1,3,1,3,6,24,43,2,-1,-3,-1,-1,抜刀会心,2,減気攻撃,3,耐震,3,特殊攻撃,-1,,,角竜の甲殻,4,角竜の牙,4,上質なねじれた角,1,草食竜の頭殻,4
ディアブロコート,0,2,3,1,3,6,12,25,4,0,-2,0,0,貫通弾強化,3,通常弾追加,2,減気攻撃,1,特殊攻撃,-3,,,角竜の甲殻,4,角竜の牙,4,上質なねじれた角,1,草食竜の頭殻,4
レックスフォールド,0,1,3,0,3,6,24,43,2,-1,0,-4,-2,聴覚保護,3,千里眼,5,食いしん坊,1,加護,-2,,,轟竜の甲殻,4,轟竜の鱗,4,上竜骨,2,狗竜の爪,3
レックスコート,0,2,3,0,3,6,12,25,3,0,0,-2,-1,聴覚保護,2,千里眼,5,食いしん坊,3,加護,-1,,,轟竜の甲殻,4,轟竜の鱗,4,上竜骨,2,狗竜の爪,3
アグナフォールド,0,1,3,2,3,6,24,43,4,-4,-2,0,-4,ガード性能,1,斬れ味,2,達人,2,底力,-2,,,炎戈竜の燃鱗,6,炎戈竜のヒレ,2,炎戈竜の爪,1,炎戈竜の尻尾,1
アグナコート,0,2,3,2,3,6,12,25,5,-2,-1,0,-2,通常弾強化,2,貫通弾追加,2,精密射撃,1,底力,-2,,,炎戈竜の燃鱗,6,炎戈竜のヒレ,2,炎戈竜の爪,1,炎戈竜の尻尾,1
ドボルフォールド,0,1,3,2,3,6,24,43,-3,1,-2,-2,0,重撃,1,底力,3,攻撃,1,達人,-2,,,尾槌竜の苔甲,4,尾槌竜の甲殻,4,尾槌竜の尾骨,1,垂皮竜の皮,6
ドボルコート,0,2,3,2,3,6,12,25,-2,3,-1,-1,0,重撃,1,底力,2,反動,1,達人,-3,,,尾槌竜の苔甲,4,尾槌竜の甲殻,4,尾槌竜の尾骨,1,垂皮竜の皮,6
ギルドバードコイル,1,1,3,1,3,5,20,39,0,0,0,0,0,捕獲,2,観察眼,2,広域,4,運気,-1,,,勇気の証,1,ドリンクチケット,1,溶岩塊,1,肥沃なドロ,3
ギルドバードコート,1,2,3,1,3,5,10,23,0,0,0,0,0,捕獲,1,観察眼,3,広域,4,運気,-1,,,勇気の証,1,ドリンクチケット,1,溶岩塊,1,肥沃なドロ,3
スカラースカート,2,1,3,1,3,5,20,39,0,0,0,0,0,捕獲,2,観察眼,2,広域,4,運気,-1,,,勇気の証,1,ドリンクチケット,1,溶岩塊,1,肥沃なドロ,3
スカラーフリル,2,2,3,1,3,5,10,23,0,0,0,0,0,捕獲,1,観察眼,3,広域,4,運気,-1,,,勇気の証,1,ドリンクチケット,1,溶岩塊,1,肥沃なドロ,3
マギュルオッハ,1,1,3,1,3,2,16,35,-4,1,2,0,0,溜め短縮,2,効果持続,2,高速設置,3,ガード性能,-2,,,ペピポパンプキン,3,キラビートル,3,ハリの実,10,霜ふり草,10
マギュルオッハ,2,1,3,1,3,2,16,35,-4,1,2,0,0,溜め短縮,2,効果持続,2,高速設置,3,ガード性能,-2,,,ペピポパンプキン,3,キラビートル,3,ハリの実,10,霜ふり草,10
マギュルブラット,1,2,3,1,3,2,8,21,-2,2,4,0,0,溜め短縮,2,効果持続,3,高速設置,2,精密射撃,-2,,,ペピポパンプキン,3,キラビートル,3,ハリの実,10,霜ふり草,10
マギュルブラット,2,2,3,1,3,2,8,21,-2,2,4,0,0,溜め短縮,2,効果持続,3,高速設置,2,精密射撃,-2,,,ペピポパンプキン,3,キラビートル,3,ハリの実,10,霜ふり草,10
ヴァイクフォールド,0,1,3,1,3,3,14,33,0,3,-2,-2,0,斬れ味,3,回復速度,3,水耐性,1,研ぎ師,-2,,,ヨロイシダイ,3,アイシスメタル,2,小金魚,4,眠魚,5
ヴァイクコート,0,2,3,1,3,3,7,20,0,5,-4,-1,0,通常弾強化,3,回復速度,3,水耐性,1,装填速度,-2,,,ヨロイシダイ,3,アイシスメタル,2,小金魚,4,眠魚,5
ロワーガアンカ,1,1,3,1,3,4,18,37,-5,0,-1,3,1,聴覚保護,3,達人,4,雷耐性,1,加護,-1,,,オオクワアゲハ,2,ドスヘラクレス,2,キラビートル,4,ボンバッタ,10
ロワーガコクサ,1,2,3,1,3,4,9,22,-4,0,0,5,3,聴覚保護,2,達人,1,雷耐性,4,加護,-2,,,オオクワアゲハ,2,ドスヘラクレス,2,キラビートル,4,ボンバッタ,10
ファルメルアンカ,2,1,3,1,3,4,18,37,-5,0,-1,3,1,聴覚保護,3,達人,4,雷耐性,1,加護,-1,,,オオクワアゲハ,2,ドスヘラクレス,2,キラビートル,4,ボンバッタ,10
ファルメルコクサ,2,2,3,1,3,4,9,22,-4,0,0,5,3,聴覚保護,2,達人,1,雷耐性,4,加護,-2,,,オオクワアゲハ,2,ドスヘラクレス,2,キラビートル,4,ボンバッタ,10
大和【腰当て】,1,1,3,0,3,6,26,45,3,0,-3,0,-3,匠,4,溜め短縮,2,達人,2,斬れ味,-3,,,峯山龍の腕甲,3,峯山龍の甲岩殻,5,古龍の血,3,尾槌竜の角,1
陸奥【腰当て】,1,2,3,0,3,6,13,26,5,1,-2,1,-2,装填数,3,溜め短縮,3,達人,4,反動,-1,,,峯山龍の腕甲,3,峯山龍の甲岩殻,5,古龍の血,3,尾槌竜の角,1
日向【腰当て】,2,1,3,0,3,6,26,45,3,0,-3,0,-3,匠,4,溜め短縮,2,達人,2,斬れ味,-3,,,峯山龍の腕甲,3,峯山龍の甲岩殻,5,古龍の血,3,尾槌竜の角,1
天城【腰当て】,2,2,3,0,3,6,13,26,5,1,-2,1,-2,装填数,3,溜め短縮,3,達人,3,反動,-2,,,峯山龍の腕甲,3,峯山龍の甲岩殻,5,古龍の血,3,尾槌竜の角,1
ユクモノオビ・天,0,1,4,2,4,6,28,60,0,0,0,3,0,加護,2,気まぐれ,2,回復量,3,研ぎ師,2,,,ユクモの堅木,1,ユクモの木,5,カブレライト鉱石,2,,
ユクモノオビ・地,0,2,4,2,4,6,14,35,0,0,0,4,0,加護,3,気まぐれ,1,回復量,3,精密射撃,2,,,ユクモの堅木,1,ユクモの木,5,カブレライト鉱石,2,,
レザーＳフォールド,0,1,4,1,4,6,28,60,-1,0,0,0,1,高速収集,1,採取,3,気まぐれ,4,腹減り,3,,,カブレライト鉱石,1,大猪の皮,2,ファンゴの毛皮,3,,
レザーＳコート,0,2,4,1,4,6,14,35,0,0,0,0,2,高速収集,3,採取,1,気まぐれ,4,腹減り,3,,,カブレライト鉱石,1,大猪の皮,2,ファンゴの毛皮,3,,
チェーンＳフォールド,0,1,4,2,4,6,28,60,2,1,1,-2,0,体力,2,調合成功率,4,減気攻撃,3,,,,,カブレライト鉱石,1,シーブライト鉱石,1,大地の結晶,2,ユクモの堅木,2
チェーンＳコート,0,2,4,2,4,6,14,35,3,2,2,-1,0,体力,2,調合成功率,4,調合数,3,,,,,カブレライト鉱石,1,シーブライト鉱石,1,大地の結晶,2,ユクモの堅木,2
ハンターＳフォールド,0,1,4,1,4,99,30,62,0,1,0,-4,0,狩人,3,千里眼,3,毒,-2,観察眼,3,,,大猪の硬い皮,1,上質な毛皮,3,ファンゴの毛皮,5,ドラグライト鉱石,5
ハンターＳコート,0,2,4,1,4,99,15,36,1,2,0,-2,1,狩人,4,千里眼,3,毒,-1,観察眼,3,,,大猪の硬い皮,1,上質な毛皮,3,ファンゴの毛皮,5,ドラグライト鉱石,5
ロックラックＳコイル,0,1,4,2,4,99,30,62,2,-3,0,1,0,運搬,4,千里眼,5,,,,,,,上質な腹袋,2,甲虫の大顎,3,モンスターの体液,4,,
ロックラックＳコート,0,2,4,2,4,99,15,36,3,-2,0,2,0,運搬,4,千里眼,5,,,,,,,上質な腹袋,2,甲虫の大顎,3,モンスターの体液,4,,
ボーンＳフォールド,0,1,4,1,4,99,30,62,2,0,-2,-1,0,回復量,3,採取,4,KO,3,睡眠,-1,,,堅牢な骨,1,竜骨【中】,2,なぞの骨,10,,
ボーンＳコート,0,2,4,1,4,99,15,36,4,0,-1,0,0,回復量,3,採取,4,KO,1,睡眠,-3,,,堅牢な骨,1,竜骨【中】,2,なぞの骨,10,,
アロイＳコイル,0,1,4,2,4,99,30,62,-1,1,-2,-2,-1,風圧,2,達人,4,研ぎ師,1,採取,-2,,,デプスライト鉱石,1,カブレライト鉱石,2,ドラグライト鉱石,5,ベアライト石,5
アロイＳコート,0,2,4,2,4,99,15,36,0,2,-1,-1,0,散弾強化,1,散弾追加,3,達人,3,採取,-2,,,デプスライト鉱石,1,カブレライト鉱石,2,ドラグライト鉱石,5,ベアライト石,5
ブナハＳコイル,0,1,4,1,4,99,32,64,-5,-2,-2,2,4,特殊攻撃,2,剣術,2,麻痺,5,攻撃,-2,,,飛甲虫の堅殻,2,飛甲虫の羽,4,モンスターの濃汁,1,王族カナブン,2
ブナハＳコート,0,2,4,1,4,99,16,37,-3,-1,-1,3,5,特殊攻撃,4,装填速度,1,麻痺,2,攻撃,-4,,,飛甲虫の堅殻,2,飛甲虫の羽,4,モンスターの濃汁,1,王族カナブン,2
リノプロＳコイル,0,1,4,1,4,99,32,64,2,-2,-2,-2,1,気力回復,1,砲術,4,気絶,-2,防御,4,,,草食竜の堅殻,1,草食竜の頭殻,1,氷結晶,3,,
リノプロＳコート,0,2,4,1,4,99,16,37,3,-1,-1,-1,2,気力回復,1,精密射撃,4,気絶,-2,防御,4,,,草食竜の堅殻,1,草食竜の頭殻,1,氷結晶,3,,
ジャギィＳフォールド,0,1,4,1,4,99,35,67,-4,-2,-2,-2,1,攻撃,2,達人,3,回復速度,4,効果持続,-2,,,狗竜の上皮,4,王者のエリマキ,2,ジャギィの上鱗,4,ドラグライト鉱石,2
ジャギィＳコート,0,2,4,1,4,99,18,39,-2,-1,-1,-1,2,攻撃,1,達人,3,回復速度,4,効果持続,-3,,,狗竜の上皮,4,王者のエリマキ,2,ジャギィの上鱗,4,ドラグライト鉱石,2
アシラＳフォールド,0,1,4,1,4,99,35,67,-3,1,-2,-1,1,加護,4,防御,3,気絶,3,麻痺,-1,,,青熊獣の剛毛,5,堅牢な骨,2,青熊獣の甲殻,3,ドスヘラクレス,3
アシラＳコート,0,2,4,1,4,99,18,39,-2,2,-1,0,3,加護,3,防御,3,気絶,3,麻痺,-2,,,青熊獣の剛毛,5,堅牢な骨,2,青熊獣の甲殻,3,ドスヘラクレス,3
スティールＳコイル,0,1,4,2,5,99,41,71,2,0,2,-2,0,ガード性能,2,研ぎ師,4,抗菌,3,,,,,グラシスメタル,4,カブレライト鉱石,7,ドラグライト鉱石,5,マカライト鉱石,8
フロギィＳフォールド,0,1,4,2,4,99,38,70,2,-2,-4,1,0,体術,2,食事,2,防御,-2,特殊攻撃,3,,,フロギィの上鱗,4,フロギィの皮,7,上質な鳥竜骨,5,デプスライト鉱石,3
フロギィＳコート,0,2,4,2,4,99,20,41,4,-1,-2,2,0,体術,2,食事,2,防御,-2,特殊攻撃,3,,,フロギィの上鱗,4,フロギィの皮,7,上質な鳥竜骨,5,デプスライト鉱石,3
ウルクＳフォールド,0,1,4,0,5,99,38,70,-4,2,2,-2,1,回避性能,4,攻撃,3,火耐性,-2,氷属性攻撃,4,,,白兎獣の剛毛,3,白兎獣の凍爪,2,堅牢な骨,3,ドスヘラクレス,8
ウルクＳコート,0,2,4,0,5,99,20,41,-2,3,4,-1,3,回避性能,4,攻撃,2,火耐性,-3,氷属性攻撃,4,,,白兎獣の剛毛,3,白兎獣の凍爪,2,堅牢な骨,3,ドスヘラクレス,8
ペッコＳコイル,0,1,5,2,4,99,35,67,2,-2,-4,-1,2,広域,3,千里眼,3,火属性攻撃,1,氷耐性,-2,,,彩鳥の翼,2,彩鳥の上鱗,3,尖竜骨,1,キラビートル,5
ペッコＳコート,0,2,5,2,4,99,18,39,4,-1,-3,0,4,広域,4,千里眼,2,火属性攻撃,1,氷耐性,-2,,,彩鳥の翼,2,彩鳥の上鱗,3,尖竜骨,1,キラビートル,5
ルドロスＳフォールド,0,1,5,2,4,99,38,70,-4,2,-2,-2,1,スタミナ,2,水属性攻撃,2,気絶,4,雷属性攻撃,-1,,,水生獣の上皮,4,未熟な海綿質,6,尖竜骨,2,王族カナブン,2
ルドロスＳコート,0,2,5,2,4,99,20,41,-2,4,-1,-1,2,スタミナ,2,水属性攻撃,2,気絶,3,雷属性攻撃,-2,,,水生獣の上皮,4,未熟な海綿質,6,尖竜骨,2,王族カナブン,2
ボロスＳフォールド,0,1,5,2,4,99,41,71,4,-4,-3,2,0,ガード性能,2,体術,1,腹減り,-3,攻撃,3,,,土砂竜の堅殻,2,土砂竜の堅甲,3,上竜骨,2,大猪の皮,5
ボロスＳコート,0,2,5,2,4,99,22,41,4,-4,-1,4,0,通常弾強化,2,反動,1,腹減り,-3,攻撃,3,,,土砂竜の堅殻,2,土砂竜の堅甲,3,上竜骨,2,大猪の皮,5
インゴットＳコイル,0,1,5,1,5,99,47,77,-2,-2,-2,1,0,風圧,2,達人,3,気まぐれ,-2,耐震,4,,,ユニオン鉱石,2,獄炎石,2,カブレライト鉱石,5,溶岩塊,2
インゴットＳコート,0,2,5,1,5,99,26,45,-1,-1,-1,2,0,散弾強化,2,散弾追加,3,気まぐれ,-2,貫通弾追加,4,,,ユニオン鉱石,2,獄炎石,2,カブレライト鉱石,5,溶岩塊,2
バギィＳコイル,0,1,5,0,5,99,41,71,-4,-1,2,-1,1,回復速度,4,回復量,3,火耐性,-2,氷耐性,4,,,眠狗竜の上皮,3,王者のトサカ,1,バギィの上鱗,6,ライトクリスタル,2
バギィＳコート,0,2,5,1,5,99,22,41,-2,0,4,0,2,回復速度,2,回復量,2,火耐性,-3,氷耐性,4,,,眠狗竜の上皮,3,王者のトサカ,1,バギィの上鱗,6,ライトクリスタル,2
ラングロＳフォールド,0,1,5,2,5,99,41,71,2,-4,-2,-1,2,回避性能,2,火耐性,1,水耐性,-2,防御,4,,,赤甲獣の堅殻,3,赤甲獣の蛇腹甲,4,モンスターの濃汁,3,紅蓮石,2
ラングロＳコート,0,2,5,2,5,99,22,41,4,-2,-1,0,4,回避性能,1,火耐性,1,水耐性,-3,防御,4,,,赤甲獣の堅殻,3,赤甲獣の蛇腹甲,4,モンスターの濃汁,3,紅蓮石,2
レイアＳフォールド,0,1,5,1,5,99,44,74,2,0,0,-2,-4,体力,4,回復速度,2,水属性攻撃,-2,加護,3,,,雌火竜の上鱗,3,雌火竜の翼膜,4,雌火竜の紅玉,1,紅蓮石,2
レイアＳコート,0,2,5,1,5,99,24,43,4,0,1,-1,-3,体力,2,回復速度,3,水属性攻撃,-3,加護,3,,,雌火竜の上鱗,3,雌火竜の翼膜,4,雌火竜の紅玉,1,紅蓮石,2
ハプルＳフォールド,0,1,5,2,5,99,44,74,2,-1,-3,-2,0,食事,2,納刀,1,雷属性攻撃,-3,食いしん坊,3,,,潜口竜の尖爪,2,潜口竜の上皮,3,鮮やかな体液,4,毒狗竜の堅腕甲,3
ハプルＳコート,0,2,5,2,5,99,24,43,4,0,-2,-1,0,食事,1,納刀,2,雷属性攻撃,-3,食いしん坊,3,,,潜口竜の尖爪,2,潜口竜の上皮,3,鮮やかな体液,4,毒狗竜の堅腕甲,3
ネブラＳフォールド,0,1,5,1,5,99,44,74,-4,0,3,3,-2,特殊攻撃,3,斬れ味,2,調合成功率,-2,腹減り,4,,,毒怪竜の上皮,5,不気味な猛毒腺,3,不気味な皮,2,アイシスメタル,6
ネブラＳコート,0,2,5,1,5,99,24,43,-2,0,4,4,-1,特殊攻撃,2,貫通弾追加,3,調合成功率,-2,腹減り,4,,,毒怪竜の上皮,5,不気味な猛毒腺,3,不気味な皮,2,アイシスメタル,6
ナルガＳフォールド,0,1,5,2,5,99,47,77,-3,1,0,-4,-1,回避距離,3,気配,1,スタミナ,-2,高速設置,3,,,迅竜の上黒毛,5,迅竜の尻尾,1,迅竜の鋭刃翼,3,青熊獣の堅殻,4
