#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ジャギィレギンス,0,2,2,1,1,2,6,19,-2,-1,-1,-1,2,攻撃,2,観察眼,2,回復速度,3,効果持続,-2,,,ジャギィの皮,4,ジャギィの鱗,3,竜骨【小】,4,マカライト鉱石,2
アシラグリーヴ,0,1,2,0,1,1,12,31,-3,1,-2,-1,1,胴系統複製,1,,,,,,,,,青熊獣の腕甲,2,青熊獣の毛,2,飛甲虫の甲殻,2,キラビートル,2
アシラレギンス,0,2,2,0,1,1,6,19,-2,2,-1,0,3,胴系統複製,1,,,,,,,,,青熊獣の腕甲,2,青熊獣の毛,2,飛甲虫の甲殻,2,キラビートル,2
フロギィグリーヴ,0,1,2,1,1,3,14,33,2,-2,-4,1,0,体術,2,観察眼,1,毒,4,気絶,-2,,,毒狗竜の腕甲,2,毒狗竜の皮,2,フロギィの皮,3,セッチャクロアリ,3
フロギィレギンス,0,2,2,1,1,3,7,20,4,-1,-2,2,0,体術,2,観察眼,1,毒,4,気絶,-2,,,毒狗竜の腕甲,2,毒狗竜の皮,2,フロギィの皮,3,セッチャクロアリ,3
ウルクグリーヴ,0,1,2,1,1,3,14,33,-4,2,2,-2,1,回避性能,2,耐寒,1,耐暑,-2,納刀,4,,,白兎獣の毛,2,白兎獣の腹甲,2,白兎獣の氷爪,1,セッチャクロアリ,8
ウルクレギンス,0,2,2,1,1,3,7,20,-2,3,4,-1,3,回避性能,1,耐寒,2,耐暑,-2,納刀,4,,,白兎獣の毛,2,白兎獣の腹甲,2,白兎獣の氷爪,1,セッチャクロアリ,8
ペッコグリーヴ,0,1,2,1,1,3,12,31,2,-2,-4,-1,2,広域,1,回復量,2,食事,-1,笛,5,,,彩鳥の鱗,2,極彩色の羽根,1,竜骨【小】,4,キラビートル,2
ペッコレギンス,0,2,2,1,1,3,6,19,4,-1,-3,0,4,広域,1,回復量,1,食事,-2,笛,5,,,彩鳥の鱗,2,極彩色の羽根,1,竜骨【小】,4,キラビートル,2
ルドロスグリーヴ,0,1,2,1,1,3,14,33,-4,2,-2,-2,1,スタミナ,1,腹減り,3,水属性攻撃,4,雷耐性,-1,,,水獣の爪,2,水獣の鱗,3,海綿質の皮,2,セッチャクロアリ,3
ルドロスレギンス,0,2,2,1,1,3,7,20,-2,4,-1,-1,2,スタミナ,2,腹減り,4,水属性攻撃,1,雷耐性,-2,,,水獣の爪,2,水獣の鱗,3,海綿質の皮,2,セッチャクロアリ,3
ボロスグリーヴ,0,1,2,2,1,3,16,35,4,-4,-3,2,0,ガード性能,1,KO,2,体術,-2,攻撃,2,,,土砂竜の甲殻,2,土砂竜の尻尾,1,竜骨【大】,2,草食竜の甲殻,3
ボロスレギンス,0,2,2,2,1,3,8,21,4,-4,-1,4,0,通常弾強化,1,精密射撃,2,体術,-2,攻撃,2,,,土砂竜の甲殻,2,土砂竜の尻尾,1,竜骨【大】,2,草食竜の甲殻,3
インゴットグリーヴ,0,1,2,2,2,4,20,39,-2,-2,-2,1,0,風圧,1,雷属性攻撃,1,研ぎ師,3,気まぐれ,-2,,,ドラグライト鉱石,3,アイシスメタル,2,シーブライト鉱石,2,マカライト鉱石,5
インゴットレギンス,0,2,2,2,2,4,10,23,-1,-1,-1,2,0,散弾強化,1,雷属性攻撃,1,装填速度,3,気まぐれ,-2,,,ドラグライト鉱石,3,アイシスメタル,2,シーブライト鉱石,2,マカライト鉱石,5
バギィグリーヴ,0,1,2,1,2,4,16,35,-4,-1,2,-1,1,攻撃,3,氷属性攻撃,1,回復速度,4,火耐性,-1,,,バギィの皮,4,バギィの鱗,3,竜骨【小】,6,ライトクリスタル,1
バギィレギンス,0,2,2,1,2,4,8,21,-2,0,4,0,2,攻撃,3,氷属性攻撃,1,回復速度,3,火耐性,-2,,,バギィの皮,4,バギィの鱗,3,竜骨【小】,6,ライトクリスタル,1
ラングログリーヴ,0,1,2,0,2,4,16,35,2,-4,-2,-1,2,胴系統複製,1,,,,,,,,,赤甲獣の爪,2,赤甲獣の甲殻,2,赤甲獣の蛇腹甲,1,ベアライト石,4
ラングロレギンス,0,2,2,0,2,4,8,21,4,-2,-1,0,4,胴系統複製,1,,,,,,,,,赤甲獣の爪,2,赤甲獣の甲殻,2,赤甲獣の蛇腹甲,1,ベアライト石,4
レイアグリーヴ,0,1,2,2,2,4,18,37,2,0,0,-2,-4,体力,3,加護,2,火属性攻撃,1,回復速度,-1,,,雌火竜の甲殻,3,雌火竜の鱗,4,竜骨【大】,3,紅蓮石,1
レイアレギンス,0,2,2,2,2,4,9,22,4,0,1,-1,-3,体力,1,加護,3,火属性攻撃,1,回復速度,-2,,,雌火竜の甲殻,3,雌火竜の鱗,4,竜骨【大】,3,紅蓮石,1
ハプルグリーヴ,0,1,2,0,2,4,18,37,2,-1,-3,-2,0,食事,4,水属性攻撃,2,食いしん坊,2,腹減り,-3,,,潜口竜の甲殻,3,潜口竜の爪,1,潜口竜の皮,3,甲虫の大顎,3
ハプルレギンス,0,2,2,0,2,4,9,22,4,0,-2,-1,0,食事,2,水属性攻撃,3,食いしん坊,3,腹減り,-3,,,潜口竜の甲殻,3,潜口竜の爪,1,潜口竜の皮,3,甲虫の大顎,3
ネブラグリーヴ,0,1,2,1,2,4,18,37,-4,0,3,3,-2,特殊攻撃,3,雷耐性,2,気絶,3,体力,-1,,,おそろしいクチ,1,なめらかな皮,4,アルビノエキス,2,ライトクリスタル,1
ネブラレギンス,0,2,2,1,2,4,9,22,-2,0,4,4,-1,特殊攻撃,2,雷耐性,3,気絶,2,体力,-2,,,おそろしいクチ,1,なめらかな皮,4,アルビノエキス,2,ライトクリスタル,1
ナルガグリーヴ,0,1,3,1,2,5,20,39,-3,1,0,-4,-1,回避距離,4,気力回復,1,気配,2,攻撃,-2,,,迅竜の牙,6,迅竜の鱗,3,迅竜の尾棘,2,ドスヘラクレス,3
ナルガレギンス,0,2,3,1,2,5,10,23,-1,3,1,-2,0,回避距離,4,気力回復,1,気配,2,攻撃,-2,,,迅竜の牙,6,迅竜の鱗,3,迅竜の尾棘,2,ドスヘラクレス,3
ベリオグリーヴ,0,1,3,2,2,5,20,39,-4,1,2,-3,-1,スタミナ,2,体術,2,氷属性攻撃,1,気力回復,-2,,,氷牙竜の毛皮,4,氷牙竜の甲殻,2,氷牙竜の爪,1,白兎獣の毛,6
ベリオレギンス,0,2,3,2,2,5,10,23,-2,2,4,-1,0,スタミナ,1,体術,2,氷属性攻撃,1,気力回復,-3,,,氷牙竜の毛皮,4,氷牙竜の甲殻,2,氷牙竜の爪,1,白兎獣の毛,6
レウスグリーヴ,0,1,3,1,3,5,22,41,2,-1,-1,-2,-4,痛撃,2,攻撃,1,火属性攻撃,5,回復量,-1,,,火竜の甲殻,3,火竜の鱗,4,火炎袋,2,ベアライト石,5
レウスレギンス,0,2,3,1,3,5,11,24,4,0,0,-1,-2,痛撃,1,攻撃,4,火属性攻撃,1,回復量,-3,,,火竜の甲殻,3,火竜の鱗,4,火炎袋,2,ベアライト石,5
ガンキングリーヴ,0,1,3,2,2,5,22,41,2,-5,-2,1,-3,抜刀減気,1,防御,3,火耐性,1,水耐性,-2,,,爆鎚竜の甲殻,4,爆鎚竜の鱗,4,溶岩塊,3,赤甲獣の蛇腹甲,3
ガンキンレギンス,0,2,3,2,2,5,11,24,4,-4,-1,2,-2,貫通弾強化,1,防御,2,火耐性,1,水耐性,-3,,,爆鎚竜の甲殻,4,爆鎚竜の鱗,4,溶岩塊,3,赤甲獣の蛇腹甲,3
ジンオウグリーヴ,0,1,3,2,3,5,22,41,-1,-2,-3,3,0,本気,1,雷属性攻撃,4,斬れ味,1,気配,-1,,,雷狼竜の蓄電殻,3,雷狼竜の甲殻,3,雷狼竜の爪,3,超電雷光虫,3
ジンオウレギンス,0,2,3,2,3,5,11,24,0,-1,-1,5,0,本気,1,雷属性攻撃,2,通常弾強化,1,気配,-3,,,雷狼竜の蓄電殻,3,雷狼竜の甲殻,3,雷狼竜の爪,3,超電雷光虫,3
ディアブログリーヴ,0,1,3,1,3,6,24,43,2,-1,-3,-1,-1,抜刀会心,1,減気攻撃,3,耐震,4,特殊攻撃,-1,,,角竜の背甲,3,角竜の甲殻,3,角竜の牙,3,草食竜の甲殻,3
ディアブロレギンス,0,2,3,1,3,6,12,25,4,0,-2,0,0,貫通弾強化,2,通常弾追加,3,減気攻撃,3,特殊攻撃,-1,,,角竜の背甲,3,角竜の甲殻,3,角竜の牙,3,草食竜の甲殻,3
レックスグリーヴ,0,1,3,2,3,6,24,43,2,-1,0,-4,-2,聴覚保護,2,千里眼,3,食いしん坊,1,加護,-1,,,轟竜の鱗,4,轟竜の爪,5,轟竜の甲殻,3,狗竜の皮,3
レックスレギンス,0,2,3,2,3,6,12,25,3,0,0,-2,-1,聴覚保護,2,千里眼,2,食いしん坊,1,加護,-2,,,轟竜の鱗,4,轟竜の爪,5,轟竜の甲殻,3,狗竜の皮,3
アグナグリーヴ,0,1,3,0,3,6,24,43,4,-4,-2,0,-4,ガード性能,4,斬れ味,2,達人,4,底力,-1,,,炎戈竜の爪,1,赤熱した胸殻,4,炎戈竜の皮,3,毒狗竜の腕甲,3
アグナレギンス,0,2,3,0,3,6,12,25,5,-2,-1,0,-2,通常弾強化,4,貫通弾追加,2,精密射撃,4,底力,-1,,,炎戈竜の爪,1,赤熱した胸殻,4,炎戈竜の皮,3,毒狗竜の腕甲,3
ドボルグリーヴ,0,1,3,1,3,6,24,43,-3,1,-2,-2,0,重撃,3,底力,3,攻撃,2,達人,-1,,,尾槌竜の尾甲,2,尾槌竜の苔甲,4,尾槌竜のコブ,2,ファンゴの毛皮,4
ドボルレギンス,0,2,3,1,3,6,12,25,-2,3,-1,-1,0,重撃,2,底力,2,反動,4,達人,-1,,,尾槌竜の尾甲,2,尾槌竜の苔甲,4,尾槌竜のコブ,2,ファンゴの毛皮,4
ギルドバードブーツ,1,1,3,2,3,5,20,39,0,0,0,0,0,捕獲,3,観察眼,2,広域,1,運気,-1,,,勇気の証,1,温泉チケット,3,紅蓮石,2,鮮やかな体液,4
ギルドバードフット,1,2,3,2,3,5,10,23,0,0,0,0,0,捕獲,2,観察眼,1,広域,2,運気,-2,,,勇気の証,1,温泉チケット,3,紅蓮石,2,鮮やかな体液,4
スカラーソックス,2,1,3,2,3,5,20,39,0,0,0,0,0,捕獲,3,観察眼,2,広域,1,運気,-1,,,勇気の証,1,温泉チケット,3,紅蓮石,2,鮮やかな体液,4
スカラーサンダル,2,2,3,2,3,5,10,23,0,0,0,0,0,捕獲,2,観察眼,1,広域,2,運気,-2,,,勇気の証,1,温泉チケット,3,紅蓮石,2,鮮やかな体液,4
マギュルライース,1,1,3,1,3,2,16,35,-4,1,2,0,0,溜め短縮,3,効果持続,3,高速設置,2,ガード性能,-1,,,ペピポパンプキン,2,アルビノエキス,1,はじけクルミ,10,セッチャクロアリ,5
マギュルライース,2,1,3,1,3,2,16,35,-4,1,2,0,0,溜め短縮,3,効果持続,3,高速設置,2,ガード性能,-1,,,ペピポパンプキン,2,アルビノエキス,1,はじけクルミ,10,セッチャクロアリ,5
マギュルヴルツェル,1,2,3,1,3,2,8,21,-2,2,4,0,0,溜め短縮,2,効果持続,2,高速設置,3,精密射撃,-2,,,ペピポパンプキン,2,アルビノエキス,1,はじけクルミ,10,セッチャクロアリ,5
マギュルヴルツェル,2,2,3,1,3,2,8,21,-2,2,4,0,0,溜め短縮,2,効果持続,2,高速設置,3,精密射撃,-2,,,ペピポパンプキン,2,アルビノエキス,1,はじけクルミ,10,セッチャクロアリ,5
ヴァイクグリーヴ,0,1,3,1,3,2,14,33,0,3,-2,-2,0,斬れ味,2,回復速度,4,水耐性,2,研ぎ師,-1,,,ヨロイシダイ,2,シーブライト鉱石,1,はじけイワシ,20,大きなヒレ,3
ヴァイクレギンス,0,2,3,1,3,2,7,20,0,5,-4,-1,0,通常弾強化,3,回復速度,3,水耐性,2,装填速度,-1,,,ヨロイシダイ,2,シーブライト鉱石,1,はじけイワシ,20,大きなヒレ,3
ロワーガガンバ,1,1,3,2,3,4,18,37,-5,0,-1,3,1,聴覚保護,1,達人,1,雷耐性,3,加護,-2,,,オオクワアゲハ,1,ドスヘラクレス,1,モンスターの体液,3,ツチハチノコ,10
ロワーガフェムル,1,2,3,2,3,4,9,22,-4,0,0,5,3,聴覚保護,1,達人,2,雷耐性,2,加護,-2,,,オオクワアゲハ,1,ドスヘラクレス,1,モンスターの体液,3,ツチハチノコ,10
ファルメルガンバ,2,1,3,2,3,4,18,37,-5,0,-1,3,1,聴覚保護,1,達人,1,雷耐性,3,加護,-2,,,オオクワアゲハ,1,ドスヘラクレス,1,モンスターの体液,3,ツチハチノコ,10
ファルメルフェムル,2,2,3,2,3,4,9,22,-4,0,0,5,3,聴覚保護,1,達人,2,雷耐性,2,加護,-2,,,オオクワアゲハ,1,ドスヘラクレス,1,モンスターの体液,3,ツチハチノコ,10
アーティアグリーヴ,0,1,3,0,3,3,20,39,0,-4,2,-4,3,剣術,4,ガード強化,5,研ぎ師,-2,,,,,さびた破片,3,ベアライト石,6,マカライト鉱石,8,鉄鉱石,14
アーティアレギンス,0,2,3,0,3,3,10,23,0,-2,4,-2,5,速射,4,反動,5,装填速度,-2,,,,,さびた破片,3,ベアライト石,6,マカライト鉱石,8,鉄鉱石,14
大和【具足】,1,1,3,1,3,6,26,45,3,0,-3,0,-3,匠,3,溜め短縮,3,達人,2,斬れ味,-1,,,峯山龍の蒼鱗,6,峯山龍の甲岩殻,4,大地の龍玉,1,炎戈竜の爪,1
陸奥【具足】,1,2,3,1,3,6,13,26,5,1,-2,1,-2,装填数,4,溜め短縮,1,達人,1,反動,-3,,,峯山龍の蒼鱗,6,峯山龍の甲岩殻,4,大地の龍玉,1,炎戈竜の爪,1
日向【袴】,2,1,3,1,3,6,26,45,3,0,-3,0,-3,匠,3,溜め短縮,3,達人,1,斬れ味,-2,,,峯山龍の蒼鱗,6,峯山龍の甲岩殻,4,大地の龍玉,1,炎戈竜の爪,1
天城【袴】,2,2,3,1,3,6,13,26,5,1,-2,1,-2,装填数,4,溜め短縮,1,達人,1,反動,-3,,,峯山龍の蒼鱗,6,峯山龍の甲岩殻,4,大地の龍玉,1,炎戈竜の爪,1
ユアミサンダル,0,0,3,1,3,5,8,28,-2,2,-2,-2,0,運気,3,効果持続,3,攻撃,-3,,,,,温泉チケット,4,ドリンクチケット,2,ユクモチケット,1,勇気の証,1
ユクモノハカマ・天,0,1,4,2,4,6,28,60,0,0,0,3,0,加護,2,気まぐれ,4,回復量,2,研ぎ師,1,,,ユクモの堅木,3,ユクモの木,2,王族カナブン,2,,
ユクモノハカマ・地,0,2,4,2,4,6,14,35,0,0,0,4,0,加護,2,気まぐれ,4,回復量,2,精密射撃,1,,,ユクモの堅木,3,ユクモの木,2,王族カナブン,2,,
レザーＳグリーヴ,0,1,4,1,4,99,28,60,-1,0,0,0,1,高速収集,2,採取,4,気まぐれ,2,腹減り,3,,,上質な毛皮,2,暖かい毛皮,2,なめらかな皮,4,,
レザーＳレギンス,0,2,4,1,4,99,14,35,0,0,0,0,2,高速収集,1,採取,4,気まぐれ,4,腹減り,2,,,上質な毛皮,2,暖かい毛皮,2,なめらかな皮,4,,
チェーンＳグリーヴ,0,1,4,2,4,6,28,60,2,1,1,-2,0,体力,4,調合成功率,4,減気攻撃,1,,,,,カブレライト鉱石,2,マカライト鉱石,2,鉄鉱石,5,,
チェーンＳレギンス,0,2,4,2,4,6,14,35,3,2,2,-1,0,体力,4,調合成功率,4,調合数,1,,,,,カブレライト鉱石,2,マカライト鉱石,2,鉄鉱石,5,,
ハンターＳグリーヴ,0,1,4,1,4,99,30,62,0,1,0,-4,0,狩人,2,千里眼,5,高速設置,2,毒,-2,,,大猪の硬い皮,2,カブレライト鉱石,1,ユクモの堅木,3,大地の結晶,2
ハンターＳレギンス,0,2,4,1,4,99,15,36,1,2,0,-2,1,狩人,2,千里眼,4,高速設置,3,毒,-2,,,大猪の硬い皮,2,カブレライト鉱石,1,ユクモの堅木,3,大地の結晶,2
ロックラックＳブーツ,0,1,4,2,4,99,30,62,2,-3,0,1,0,運搬,4,千里眼,5,,,,,,,上質な腹袋,3,甲虫の大顎,3,アイシスメタル,3,,
ロックラックＳフット,0,2,4,2,4,99,15,36,3,-2,0,2,0,運搬,4,千里眼,5,,,,,,,上質な腹袋,3,甲虫の大顎,3,アイシスメタル,3,,
ボーンＳグリーヴ,0,1,4,1,4,99,30,62,2,0,-2,-1,0,回復量,1,採取,4,睡眠,-2,笛,4,,,上質な鳥竜骨,2,上質なヒレ,3,上竜骨,2,,
ボーンＳレギンス,0,2,4,1,4,99,15,36,4,0,-1,0,0,回復量,2,採取,2,睡眠,-3,笛,4,,,上質な鳥竜骨,2,上質なヒレ,3,上竜骨,2,,
アロイＳグリーヴ,0,1,4,1,4,99,30,62,-1,1,-2,-2,-1,風圧,2,達人,5,研ぎ師,2,採取,-2,,,デプスライト鉱石,3,カブレライト鉱石,3,紅蓮石,3,アイシスメタル,5
アロイＳレギンス,0,2,4,1,4,99,15,36,0,2,-1,-1,0,散弾強化,2,散弾追加,2,達人,5,採取,-2,,,デプスライト鉱石,3,カブレライト鉱石,3,紅蓮石,3,アイシスメタル,5
ブナハＳブーツ,0,1,4,1,4,99,32,64,-5,-2,-2,2,4,特殊攻撃,2,剣術,2,攻撃,-2,龍耐性,5,,,飛甲虫の堅殻,2,飛甲虫の羽,4,上質な腹袋,1,モンスターの体液,3
ブナハＳフット,0,2,4,1,4,99,16,37,-3,-1,-1,3,5,特殊攻撃,1,装填速度,3,攻撃,-2,龍耐性,5,,,飛甲虫の堅殻,2,飛甲虫の羽,4,上質な腹袋,1,モンスターの体液,3
リノプロＳグリーヴ,0,1,4,2,4,99,32,64,2,-2,-2,-2,1,気力回復,3,砲術,1,耐泥耐雪,4,気絶,-1,,,草食竜の堅殻,3,竜骨【小】,6,カブレライト鉱石,2,,
リノプロＳレギンス,0,2,4,2,4,99,16,37,3,-1,-1,-1,2,気力回復,1,砲術,3,精密射撃,3,気絶,-2,,,草食竜の堅殻,3,竜骨【小】,6,カブレライト鉱石,2,,
ジャギィＳグリーヴ,0,1,4,1,4,99,35,67,-4,-2,-2,-2,1,攻撃,4,達人,3,回復速度,3,効果持続,-1,,,ジャギィの上鱗,4,ジャギィの皮,4,上質な鳥竜骨,7,ドラグライト鉱石,2
ジャギィＳレギンス,0,2,4,1,4,99,18,39,-2,-1,-1,-1,2,攻撃,3,達人,2,回復速度,4,効果持続,-2,,,ジャギィの上鱗,4,ジャギィの皮,4,上質な鳥竜骨,7,ドラグライト鉱石,2
アシラＳグリーヴ,0,1,4,0,4,99,35,67,-3,1,-2,-1,1,胴系統複製,1,,,,,,,,,青熊獣の堅腕甲,2,青熊獣の剛毛,4,飛甲虫の甲殻,3,王族カナブン,2
アシラＳレギンス,0,2,4,0,4,99,18,39,-2,2,-1,0,3,胴系統複製,1,,,,,,,,,青熊獣の堅腕甲,2,青熊獣の剛毛,4,飛甲虫の甲殻,3,王族カナブン,2
フロギィＳグリーヴ,0,1,4,1,4,99,38,70,2,-2,-4,1,0,体術,2,食事,2,毒,5,防御,-2,,,毒狗竜の堅腕甲,4,毒狗竜の上皮,3,毒狗竜の皮,3,王族カナブン,4
フロギィＳレギンス,0,2,4,1,4,99,20,41,4,-1,-2,2,0,体術,1,食事,3,毒,5,防御,-2,,,毒狗竜の堅腕甲,4,毒狗竜の上皮,3,毒狗竜の皮,3,王族カナブン,4
ウルクＳグリーヴ,0,1,4,1,5,99,38,70,-4,2,2,-2,1,回避性能,3,氷耐性,4,攻撃,3,火耐性,-1,,,白兎獣の剛毛,3,白兎獣の堅腹甲,3,白兎獣の凍爪,1,なめらかな皮,8
ウルクＳレギンス,0,2,4,1,5,99,20,41,-2,3,4,-1,3,回避性能,2,氷耐性,5,攻撃,2,火耐性,-2,,,白兎獣の剛毛,3,白兎獣の堅腹甲,3,白兎獣の凍爪,1,なめらかな皮,8
ペッコＳグリーヴ,0,1,5,1,4,99,35,67,2,-2,-4,-1,2,広域,4,千里眼,2,火属性攻撃,4,氷耐性,-1,,,彩鳥の翼,3,彩鳥の上鱗,3,極彩色の羽根,2,ドスヘラクレス,3
ペッコＳレギンス,0,2,5,1,4,99,18,39,4,-1,-3,0,4,広域,3,千里眼,2,火属性攻撃,4,氷耐性,-2,,,彩鳥の翼,3,彩鳥の上鱗,3,極彩色の羽根,2,ドスヘラクレス,3
ルドロスＳグリーヴ,0,1,5,1,4,99,38,70,-4,2,-2,-2,1,スタミナ,1,水属性攻撃,4,雷属性攻撃,-2,KO,4,,,水獣の鋭爪,2,水獣の上鱗,3,海綿質の上皮,3,キラビートル,5
ルドロスＳレギンス,0,2,5,1,4,99,20,41,-2,4,-1,-1,2,スタミナ,1,水属性攻撃,4,雷属性攻撃,-2,KO,4,,,水獣の鋭爪,2,水獣の上鱗,3,海綿質の上皮,3,キラビートル,5
ボロスＳグリーヴ,0,1,5,0,4,99,41,71,4,-4,-3,2,0,ガード性能,3,体術,4,底力,5,腹減り,-1,,,土砂竜の堅殻,3,土砂竜の尻尾,1,尖竜骨,3,ジャギィの上鱗,4
ボロスＳレギンス,0,2,5,0,4,99,22,41,4,-4,-1,4,0,通常弾強化,2,反動,4,底力,5,腹減り,-2,,,土砂竜の堅殻,3,土砂竜の尻尾,1,尖竜骨,3,ジャギィの上鱗,4
インゴットＳグリーヴ,0,1,5,2,5,99,47,77,-2,-2,-2,1,0,風圧,2,達人,3,気まぐれ,-2,耐震,2,,,ユニオン鉱石,3,グラシスメタル,3,デプスライト鉱石,1,カブレライト鉱石,5
インゴットＳレギンス,0,2,5,2,5,99,26,45,-1,-1,-1,2,0,散弾強化,2,散弾追加,3,気まぐれ,-2,貫通弾追加,2,,,ユニオン鉱石,3,グラシスメタル,3,デプスライト鉱石,1,カブレライト鉱石,5
バギィＳグリーヴ,0,1,5,2,5,99,41,71,-4,-1,2,-1,1,攻撃,4,回復速度,2,回復量,1,火耐性,-2,,,バギィの上鱗,2,バギィの皮,6,上質な鳥竜骨,7,グラシスメタル,3
バギィＳレギンス,0,2,5,2,5,99,22,41,-2,0,4,0,2,攻撃,3,回復速度,2,回復量,1,火耐性,-3,,,バギィの上鱗,2,バギィの皮,6,上質な鳥竜骨,7,グラシスメタル,3
ラングロＳグリーヴ,0,1,5,0,5,99,41,71,2,-4,-2,-1,2,胴系統複製,1,,,,,,,,,赤甲獣の尖爪,3,赤甲獣の堅殻,3,赤甲獣の蛇腹甲,1,ユニオン鉱石,2
ラングロＳレギンス,0,2,5,0,5,99,22,41,4,-2,-1,0,4,胴系統複製,1,,,,,,,,,赤甲獣の尖爪,3,赤甲獣の堅殻,3,赤甲獣の蛇腹甲,1,ユニオン鉱石,2
レイアＳグリーヴ,0,1,5,2,5,99,44,74,2,0,0,-2,-4,体力,5,火属性攻撃,1,回復速度,1,水属性攻撃,-2,,,雌火竜の堅殻,4,雌火竜の上鱗,4,尖竜骨,3,ユニオン鉱石,4
レイアＳレギンス,0,2,5,2,5,99,24,43,4,0,1,-1,-3,体力,5,火属性攻撃,1,回復速度,1,水属性攻撃,-2,,,雌火竜の堅殻,4,雌火竜の上鱗,4,尖竜骨,3,ユニオン鉱石,4
ハプルＳグリーヴ,0,1,5,0,5,99,44,74,2,-1,-3,-2,0,食事,3,水属性攻撃,5,納刀,4,雷属性攻撃,-1,,,潜口竜の堅殻,4,竜玉,1,尖竜骨,3,毒狗竜の上皮,4
ハプルＳレギンス,0,2,5,0,5,99,24,43,4,0,-2,-1,0,食事,3,水属性攻撃,5,納刀,4,雷属性攻撃,-1,,,潜口竜の堅殻,4,竜玉,1,尖竜骨,3,毒狗竜の上皮,4
